cat_type,category,subcategory,Fiscal 2015/16 Q3,Fiscal 2015/16 Q4,Fiscal 2016/17 Q1,Fiscal 2016/17 Q2,Fiscal 2016/17 Q3
Wine,Sake,Other Country Sake,"$77,276","$62,611","$72,885","$81,312","$72,234"
Wine,Sake,USA Sake,"$780,536","$745,562","$656,747","$667,615","$800,892"
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,$0,$0,$0,$0,$0
Wine,South Africa Wine,South Africa Red Wine,"$1,842,460","$1,419,900","$1,467,646","$1,473,194","$1,774,436"
Wine,South Africa Wine,South Africa Rose Wine,$738,$479,"$30,560",$555,$306
Wine,South Africa Wine,South Africa Sparkling Wine,"$103,096","$81,150","$46,628","$81,545","$69,353"
Wine,South Africa Wine,South Africa White Wine,"$929,462","$832,089","$1,292,286","$1,146,564","$1,013,263"
Wine,Spain Wine,Spain Fruit and Dessert Wine,$0,$0,$0,$0,$0
Wine,Spain Wine,Spain Red Wine,"$6,336,595","$4,942,103","$4,277,468","$4,629,870","$5,822,584"
Wine,Spain Wine,Spain Rose Wine,"$29,268","$24,450","$164,921","$162,449","$63,665"
Wine,Spain Wine,Spain Sparkling Wine,"$1,932,988","$852,465","$1,038,362","$1,068,515","$2,118,353"
Wine,Spain Wine,Spain White Wine,"$446,741","$533,768","$332,865","$403,755","$374,055"
Wine,USA Wine,USA Fruit and Dessert Wine,"$2,892",$963,"$7,070","$7,113","$4,428"
Wine,USA Wine,USA Red Wine,"$31,040,028","$20,224,440","$20,053,895","$20,687,636","$30,136,990"
Wine,USA Wine,USA Rose Wine,"$1,040,064","$908,257","$1,093,363","$1,061,270","$1,016,740"
Wine,USA Wine,USA Sparkling Wine,"$593,267","$311,887","$379,256","$405,237","$632,730"
Wine,USA Wine,USA White Wine,"$7,902,973","$6,276,541","$7,227,891","$7,594,518","$7,511,691"
