cat_type,category,subcategory,period,netsales
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2019/20 Q2,19340392
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2019/20 Q3,13231871
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2019/20 Q4,12908511
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2020/21 Q1,19119411
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2020/21 Q2,22069583
Refreshment Beverages,Cider,Import Cider,Fiscal 2019/20 Q2,5209520
Refreshment Beverages,Cider,Import Cider,Fiscal 2019/20 Q3,3310312
Refreshment Beverages,Cider,Import Cider,Fiscal 2019/20 Q4,3107135
Refreshment Beverages,Cider,Import Cider,Fiscal 2020/21 Q1,3673577
Refreshment Beverages,Cider,Import Cider,Fiscal 2020/21 Q2,3225814
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2019/20 Q2,499914
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2019/20 Q3,170031
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2019/20 Q4,191575
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2020/21 Q1,462601
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2020/21 Q2,536164
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2019/20 Q2,66022549
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2019/20 Q3,38815379
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2019/20 Q4,44451680
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2020/21 Q1,92477389
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2020/21 Q2,104132874
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2019/20 Q2,1139990
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2019/20 Q3,658202
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2019/20 Q4,710733
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2020/21 Q1,1398378
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2020/21 Q2,1537397
