cat_type,category,subcategory,Fiscal 2019/20 Q2,Fiscal 2019/20 Q3,Fiscal 2019/20 Q4,Fiscal 2020/21 Q1,Fiscal 2020/21 Q2
Spirits,Other Spirits,Moonshine Spirits,"8,668","9,058","5,331","10,394","11,153"
Spirits,Other Spirits,Ready to Mix Cocktails,"30,251","22,110","21,536","20,196","26,389"
Spirits,Other Spirits,Ready to Serve Cocktails,"32,935","30,754","20,616","44,756","58,302"
Spirits,Other Spirits,Schnapps and Akvavit,"1,511","1,898","1,303","1,253","1,612"
Spirits,Rum,Amber Rum,"202,969","271,960","188,051","221,700","215,990"
Spirits,Rum,Dark Rum,"98,495","151,629","108,609","103,203","101,145"
Spirits,Rum,Flavoured Rum,"12,582","9,329","9,618","29,455","21,623"
Spirits,Rum,Spiced Rum,"268,047","435,824","233,022","271,417","279,895"
Spirits,Rum,White Rum,"317,002","329,249","263,905","316,082","321,850"
Spirits,Tequila,Blanco/Silver Tequila,"123,793","88,620","87,649","121,166","132,349"
Spirits,Tequila,Flavoured Tequila,"4,558","3,466","3,479","6,028","7,325"
Spirits,Tequila,Gold Tequila,"198,352","156,412","133,455","194,402","211,872"
Spirits,Tequila,Mezcal,"7,067","7,521","6,351","8,896","9,512"
Spirits,Vodka,Flavoured Vodka,"160,008","218,126","162,196","327,517","257,279"
Spirits,Vodka,Straight Vodka,"2,230,415","2,260,663","2,043,914","2,297,447","2,329,677"
Spirits,Whisky,American Whiskey,"65,601","79,884","60,407","68,165","64,234"
Spirits,Whisky,Blended Malt Scotch Whisky,"2,257","4,430","2,770","3,104","2,454"
Spirits,Whisky,Blended Scotch Whisky,"240,211","296,607","253,533","264,215","228,528"
Spirits,Whisky,Bourbon Whiskey,"101,065","133,299","105,811","114,315","110,201"
Spirits,Whisky,Canadian Whisky,"1,108,359","1,338,460","1,022,981","1,195,112","1,080,485"
Spirits,Whisky,Flavoured Whisky,"7,993","12,408","1,996","1,791","9,569"
Spirits,Whisky,Irish Whiskey,"116,079","159,335","141,076","99,621","115,393"
Spirits,Whisky,Other Country Whisky,"12,356","16,166","14,352","13,020","14,282"
Spirits,Whisky,Single Malt Scotch Whisky,"116,106","192,675","110,898","131,796","112,743"
