cat_type,category,subcategory,period,litres
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2019/20 Q2,8668
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2019/20 Q3,9058
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2019/20 Q4,5331
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2020/21 Q1,10394
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2020/21 Q2,11153
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2019/20 Q2,30251
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2019/20 Q3,22110
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2019/20 Q4,21536
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2020/21 Q1,20196
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2020/21 Q2,26389
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2019/20 Q2,32935
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2019/20 Q3,30754
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2019/20 Q4,20616
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2020/21 Q1,44756
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2020/21 Q2,58302
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2019/20 Q2,1511
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2019/20 Q3,1898
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2019/20 Q4,1303
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2020/21 Q1,1253
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2020/21 Q2,1612
Spirits,Rum,Amber Rum,Fiscal 2019/20 Q2,202969
Spirits,Rum,Amber Rum,Fiscal 2019/20 Q3,271960
Spirits,Rum,Amber Rum,Fiscal 2019/20 Q4,188051
Spirits,Rum,Amber Rum,Fiscal 2020/21 Q1,221700
Spirits,Rum,Amber Rum,Fiscal 2020/21 Q2,215990
Spirits,Rum,Dark Rum,Fiscal 2019/20 Q2,98495
Spirits,Rum,Dark Rum,Fiscal 2019/20 Q3,151629
Spirits,Rum,Dark Rum,Fiscal 2019/20 Q4,108609
Spirits,Rum,Dark Rum,Fiscal 2020/21 Q1,103203
Spirits,Rum,Dark Rum,Fiscal 2020/21 Q2,101145
Spirits,Rum,Flavoured Rum,Fiscal 2019/20 Q2,12582
Spirits,Rum,Flavoured Rum,Fiscal 2019/20 Q3,9329
Spirits,Rum,Flavoured Rum,Fiscal 2019/20 Q4,9618
Spirits,Rum,Flavoured Rum,Fiscal 2020/21 Q1,29455
Spirits,Rum,Flavoured Rum,Fiscal 2020/21 Q2,21623
Spirits,Rum,Spiced Rum,Fiscal 2019/20 Q2,268047
Spirits,Rum,Spiced Rum,Fiscal 2019/20 Q3,435824
Spirits,Rum,Spiced Rum,Fiscal 2019/20 Q4,233022
Spirits,Rum,Spiced Rum,Fiscal 2020/21 Q1,271417
Spirits,Rum,Spiced Rum,Fiscal 2020/21 Q2,279895
Spirits,Rum,White Rum,Fiscal 2019/20 Q2,317002
Spirits,Rum,White Rum,Fiscal 2019/20 Q3,329249
Spirits,Rum,White Rum,Fiscal 2019/20 Q4,263905
Spirits,Rum,White Rum,Fiscal 2020/21 Q1,316082
Spirits,Rum,White Rum,Fiscal 2020/21 Q2,321850
Spirits,Tequila,Blanco/Silver Tequila,Fiscal 2019/20 Q2,123793
Spirits,Tequila,Blanco/Silver Tequila,Fiscal 2019/20 Q3,88620
Spirits,Tequila,Blanco/Silver Tequila,Fiscal 2019/20 Q4,87649
Spirits,Tequila,Blanco/Silver Tequila,Fiscal 2020/21 Q1,121166
