cat_type,category,subcategory,period,netsales
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2019/20 Q2,360733
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2019/20 Q3,400499
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2019/20 Q4,220396
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2020/21 Q1,387007
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2020/21 Q2,441529
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2019/20 Q2,602072
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2019/20 Q3,455267
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2019/20 Q4,438254
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2020/21 Q1,397969
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2020/21 Q2,514595
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2019/20 Q2,695178
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2019/20 Q3,875285
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2019/20 Q4,551880
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2020/21 Q1,1049488
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2020/21 Q2,1385919
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2019/20 Q2,62805
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2019/20 Q3,76896
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2019/20 Q4,57349
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2020/21 Q1,52526
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2020/21 Q2,66348
Spirits,Rum,Amber Rum,Fiscal 2019/20 Q2,5659047
Spirits,Rum,Amber Rum,Fiscal 2019/20 Q3,7618934
Spirits,Rum,Amber Rum,Fiscal 2019/20 Q4,5175936
Spirits,Rum,Amber Rum,Fiscal 2020/21 Q1,6139612
Spirits,Rum,Amber Rum,Fiscal 2020/21 Q2,6230764
Spirits,Rum,Dark Rum,Fiscal 2019/20 Q2,2521038
Spirits,Rum,Dark Rum,Fiscal 2019/20 Q3,4081241
Spirits,Rum,Dark Rum,Fiscal 2019/20 Q4,2845892
Spirits,Rum,Dark Rum,Fiscal 2020/21 Q1,2826254
Spirits,Rum,Dark Rum,Fiscal 2020/21 Q2,2769460
Spirits,Rum,Flavoured Rum,Fiscal 2019/20 Q2,311484
Spirits,Rum,Flavoured Rum,Fiscal 2019/20 Q3,241962
Spirits,Rum,Flavoured Rum,Fiscal 2019/20 Q4,242708
Spirits,Rum,Flavoured Rum,Fiscal 2020/21 Q1,818329
Spirits,Rum,Flavoured Rum,Fiscal 2020/21 Q2,601362
Spirits,Rum,Spiced Rum,Fiscal 2019/20 Q2,7468084
Spirits,Rum,Spiced Rum,Fiscal 2019/20 Q3,12280914
Spirits,Rum,Spiced Rum,Fiscal 2019/20 Q4,6678254
Spirits,Rum,Spiced Rum,Fiscal 2020/21 Q1,7742164
Spirits,Rum,Spiced Rum,Fiscal 2020/21 Q2,7953450
Spirits,Rum,White Rum,Fiscal 2019/20 Q2,7508840
Spirits,Rum,White Rum,Fiscal 2019/20 Q3,7815262
Spirits,Rum,White Rum,Fiscal 2019/20 Q4,6232424
Spirits,Rum,White Rum,Fiscal 2020/21 Q1,7537031
