cat_type,category,subcategory,Fiscal 2019/20 Q2,Fiscal 2019/20 Q3,Fiscal 2019/20 Q4,Fiscal 2020/21 Q1,Fiscal 2020/21 Q2
Wine,Portugal Wine,Portugal White Wine,"$613,411","$429,220","$428,011","$642,663","$631,556"
Wine,Sake,Japan Sake,"$1,520,573","$1,577,970","$1,565,558","$1,114,793","$1,629,973"
Wine,Sake,Other Country Sake,"$96,654","$77,154","$70,396","$55,112","$79,021"
Wine,Sake,USA Sake,"$679,113","$785,341","$789,081","$532,065","$597,273"
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,$0,$0,$0,$0,$0
Wine,South Africa Wine,South Africa Red Wine,"$1,299,850","$1,616,418","$1,517,649","$1,232,982","$1,055,302"
Wine,South Africa Wine,South Africa Rose Wine,"$49,656","$16,409","$5,813","$102,750","$104,831"
Wine,South Africa Wine,South Africa Sparkling Wine,"$3,249","$5,841","$6,315","$5,280","$4,763"
Wine,South Africa Wine,South Africa White Wine,"$1,205,157","$997,174","$929,089","$942,671","$796,226"
Wine,Spain Wine,Spain Fruit and Dessert Wine,"$8,974","$10,971","$5,944","$6,542","$6,083"
Wine,Spain Wine,Spain Red Wine,"$4,225,827","$5,661,312","$4,748,261","$4,680,129","$5,116,474"
Wine,Spain Wine,Spain Rose Wine,"$380,348","$204,800","$298,931","$438,121","$556,178"
Wine,Spain Wine,Spain Sparkling Wine,"$1,211,094","$1,913,333","$889,053","$936,605","$1,106,640"
Wine,Spain Wine,Spain White Wine,"$655,903","$644,781","$598,335","$619,713","$857,034"
Wine,USA Wine,USA Fruit and Dessert Wine,$802,"$1,178",$888,$530,"$2,373"
Wine,USA Wine,USA Red Wine,"$20,378,558","$32,134,998","$21,257,991","$22,388,968","$22,586,564"
Wine,USA Wine,USA Rose Wine,"$1,288,045","$1,181,252","$1,068,972","$1,919,131","$1,506,179"
Wine,USA Wine,USA Sparkling Wine,"$298,496","$447,538","$248,295","$232,437","$275,146"
Wine,USA Wine,USA White Wine,"$6,600,822","$6,663,190","$5,873,458","$6,770,335","$7,036,706"
