cat_type,category,subcategory,period,litres
beer,Domestic,BC Beer Domestic - BC Commercial Beer,fiscal_2024_25_q1,30186179.0
beer,Domestic,BC Micro Brew Beer,fiscal_2024_25_q1,7452401.0
beer,Domestic,BC Regional Beer,fiscal_2024_25_q1,14220084.0
beer,Domestic,Other Province Beer Domestic - Other Province Commercial Beer,fiscal_2024_25_q1,10428920.0
beer,Domestic,Other Province Micro Brew Beer,fiscal_2024_25_q1,16622.0
beer,Domestic,Other Province Regional Beer,fiscal_2024_25_q1,144529.0
beer,Import Beer Asia And South Pacific Beer,Import Beer Asia And South Pacific Beer,fiscal_2024_25_q1,301859.0
beer,Europe Beer,Europe Beer,fiscal_2024_25_q1,3346016.0
beer,Mexico And Caribbean Beer,Mexico And Caribbean Beer,fiscal_2024_25_q1,493201.0
beer,Other Country Beer,Other Country Beer,fiscal_2024_25_q1,102750.0
beer,USA Beer,USA Beer,fiscal_2024_25_q1,104565.0
beer,Domestic,BC Beer Domestic - BC Commercial Beer,fiscal_2024_25_q2,30474912.0
beer,Domestic,BC Micro Brew Beer,fiscal_2024_25_q2,7969643.0
beer,Domestic,BC Regional Beer,fiscal_2024_25_q2,14189727.0
beer,Domestic,Other Province Beer Domestic - Other Province Commercial Beer,fiscal_2024_25_q2,10503368.0
beer,Domestic,Other Province Micro Brew Beer,fiscal_2024_25_q2,32014.0
beer,Domestic,Other Province Regional Beer,fiscal_2024_25_q2,131145.0
beer,Import Beer Asia And South Pacific Beer,Import Beer Asia And South Pacific Beer,fiscal_2024_25_q2,330992.0
beer,Europe Beer,Europe Beer,fiscal_2024_25_q2,3390398.0
beer,Mexico And Caribbean Beer,Mexico And Caribbean Beer,fiscal_2024_25_q2,541430.0
beer,Other Country Beer,Other Country Beer,fiscal_2024_25_q2,113715.0
beer,USA Beer,USA Beer,fiscal_2024_25_q2,81763.0
beer,Domestic,BC Beer Domestic - BC Commercial Beer,fiscal_2024_25_q3,25656254.0
beer,Domestic,BC Micro Brew Beer,fiscal_2024_25_q3,6059604.0
beer,Domestic,BC Regional Beer,fiscal_2024_25_q3,12468705.0
beer,Domestic,Other Province Beer Domestic - Other Province Commercial Beer,fiscal_2024_25_q3,7535138.0
beer,Domestic,Other Province Micro Brew Beer,fiscal_2024_25_q3,26279.0
beer,Domestic,Other Province Regional Beer,fiscal_2024_25_q3,119865.0
beer,Import Beer Asia And South Pacific Beer,Import Beer Asia And South Pacific Beer,fiscal_2024_25_q3,300872.0
beer,Europe Beer,Europe Beer,fiscal_2024_25_q3,3220027.0
beer,Mexico And Caribbean Beer,Mexico And Caribbean Beer,fiscal_2024_25_q3,357119.0
beer,Other Country Beer,Other Country Beer,fiscal_2024_25_q3,106396.0
beer,USA Beer,USA Beer,fiscal_2024_25_q3,41107.0
beer,Domestic,BC Beer Domestic - BC Commercial Beer,fiscal_2024_25_q4,23403325.0
beer,Domestic,BC Micro Brew Beer,fiscal_2024_25_q4,5756177.0
beer,Domestic,BC Regional Beer,fiscal_2024_25_q4,11379660.0
beer,Domestic,Other Province Beer Domestic - Other Province Commercial Beer,fiscal_2024_25_q4,7007217.0
beer,Domestic,Other Province Micro Brew Beer,fiscal_2024_25_q4,20560.0
beer,Domestic,Other Province Regional Beer,fiscal_2024_25_q4,130879.0
beer,Import Beer Asia And South Pacific Beer,Import Beer Asia And South Pacific Beer,fiscal_2024_25_q4,280137.0
beer,Europe Beer,Europe Beer,fiscal_2024_25_q4,2984754.0
beer,Mexico And Caribbean Beer,Mexico And Caribbean Beer,fiscal_2024_25_q4,310821.0
beer,Other Country Beer,Other Country Beer,fiscal_2024_25_q4,97992.0
beer,USA Beer,USA Beer,fiscal_2024_25_q4,25497.0
beer,Domestic,BC Beer Domestic - BC Commercial Beer,fiscal_2025_26_q1,27825017.0
beer,Domestic,BC Micro Brew Beer,fiscal_2025_26_q1,7301785.0
beer,Domestic,BC Regional Beer,fiscal_2025_26_q1,14571748.0
beer,Domestic,Other Province Beer Domestic - Other Province Commercial Beer,fiscal_2025_26_q1,10581811.0
beer,Domestic,Other Province Micro Brew Beer,fiscal_2025_26_q1,30509.0
beer,Domestic,Other Province Regional Beer,fiscal_2025_26_q1,171524.0
beer,Import Beer Asia And South Pacific Beer,Import Beer Asia And South Pacific Beer,fiscal_2025_26_q1,324585.0
beer,Europe Beer,Europe Beer,fiscal_2025_26_q1,3126669.0
beer,Mexico And Caribbean Beer,Mexico And Caribbean Beer,fiscal_2025_26_q1,438325.0
beer,Other Country Beer,Other Country Beer,fiscal_2025_26_q1,108243.0
beer,USA Beer,USA Beer,fiscal_2025_26_q1,10472.0
