cat_type,category,subcategory,period,litres
refreshment,Cider Domestic Cider,Cider Domestic Cider,fiscal_2024_25_q1,2491312.0
refreshment,Import Cider,Import Cider,fiscal_2024_25_q1,647830.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,fiscal_2024_25_q1,70037.0
refreshment,Spirit Coolers,Spirit Coolers,fiscal_2024_25_q1,19995242.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,fiscal_2024_25_q1,156275.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,fiscal_2024_25_q2,2848527.0
refreshment,Import Cider,Import Cider,fiscal_2024_25_q2,691478.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,fiscal_2024_25_q2,117201.0
refreshment,Spirit Coolers,Spirit Coolers,fiscal_2024_25_q2,22624910.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,fiscal_2024_25_q2,142573.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,fiscal_2024_25_q3,1905192.0
refreshment,Import Cider,Import Cider,fiscal_2024_25_q3,605747.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,fiscal_2024_25_q3,52005.0
refreshment,Spirit Coolers,Spirit Coolers,fiscal_2024_25_q3,14011494.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,fiscal_2024_25_q3,99059.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,fiscal_2024_25_q4,1660438.0
refreshment,Import Cider,Import Cider,fiscal_2024_25_q4,494481.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,fiscal_2024_25_q4,40682.0
refreshment,Spirit Coolers,Spirit Coolers,fiscal_2024_25_q4,13278828.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,fiscal_2024_25_q4,100936.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,fiscal_2025_26_q1,2443445.0
refreshment,Import Cider,Import Cider,fiscal_2025_26_q1,677601.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,fiscal_2025_26_q1,32840.0
refreshment,Spirit Coolers,Spirit Coolers,fiscal_2025_26_q1,20384604.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,fiscal_2025_26_q1,123005.0
