cat_type,category,subcategory,period,netsales
refreshment,Cider Domestic Cider,Cider Domestic Cider,fiscal_2024_25_q1,14224127.0
refreshment,Import Cider,Import Cider,fiscal_2024_25_q1,3385628.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,fiscal_2024_25_q1,363377.0
refreshment,Spirit Coolers,Spirit Coolers,fiscal_2024_25_q1,105116631.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,fiscal_2024_25_q1,1275019.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,fiscal_2024_25_q2,16888687.0
refreshment,Import Cider,Import Cider,fiscal_2024_25_q2,3547950.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,fiscal_2024_25_q2,577771.0
refreshment,Spirit Coolers,Spirit Coolers,fiscal_2024_25_q2,120968839.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,fiscal_2024_25_q2,1138113.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,fiscal_2024_25_q3,11196930.0
refreshment,Import Cider,Import Cider,fiscal_2024_25_q3,3050117.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,fiscal_2024_25_q3,263161.0
refreshment,Spirit Coolers,Spirit Coolers,fiscal_2024_25_q3,75547221.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,fiscal_2024_25_q3,822523.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,fiscal_2024_25_q4,9417257.0
refreshment,Import Cider,Import Cider,fiscal_2024_25_q4,2621819.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,fiscal_2024_25_q4,221683.0
refreshment,Spirit Coolers,Spirit Coolers,fiscal_2024_25_q4,72694520.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,fiscal_2024_25_q4,854849.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,fiscal_2025_26_q1,13979965.0
refreshment,Import Cider,Import Cider,fiscal_2025_26_q1,3470164.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,fiscal_2025_26_q1,202861.0
refreshment,Spirit Coolers,Spirit Coolers,fiscal_2025_26_q1,108539486.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,fiscal_2025_26_q1,1043341.0
