cat_type,category,subcategory,period,litres
spirits,Asian Spirits China Spirits,Asian Spirits China Spirits,fiscal_2024_25_q1,13431.0
spirits,Korea Spirits,Korea Spirits,fiscal_2024_25_q1,66314.0
spirits,Other Country Asian Spirits,Other Country Asian Spirits,fiscal_2024_25_q1,3506.0
spirits,Gin Dry Gin,Gin Dry Gin,fiscal_2024_25_q1,425204.0
spirits,Flavoured Gin,Flavoured Gin,fiscal_2024_25_q1,32390.0
spirits,Other Gin,Other Gin,fiscal_2024_25_q1,19326.0
spirits,Brandy,Brandy,fiscal_2024_25_q1,67223.0
spirits,Cognac,Cognac,fiscal_2024_25_q1,16195.0
spirits,Eau de Vie,Eau de Vie,fiscal_2024_25_q1,5581.0
spirits,Grappa And Marc 971 911,Grappa And Marc 971 911,fiscal_2024_25_q1,1152.0
spirits,Pisco,Pisco,fiscal_2024_25_q1,3311.0
spirits,Liqueurs Anise And Herbal/Spice Liqueurs,Liqueurs Anise And Herbal/Spice Liqueurs,fiscal_2024_25_q1,305487.0
spirits,Coffee And Cocoa Liqueurs,Coffee And Cocoa Liqueurs,fiscal_2024_25_q1,65678.0
spirits,Cream/Dairy Liqueurs,Cream/Dairy Liqueurs,fiscal_2024_25_q1,225650.0
spirits,Fruit Liqueurs,Fruit Liqueurs,fiscal_2024_25_q1,216577.0
spirits,Nut Liqueurs,Nut Liqueurs,fiscal_2024_25_q1,55137.0
spirits,Other Liqueurs,Other Liqueurs,fiscal_2024_25_q1,34126.0
spirits,Whiskey Liqueurs,Whiskey Liqueurs,fiscal_2024_25_q1,41857.0
spirits,Other Spirits Cachaca 927,Other Spirits Cachaca 927,fiscal_2024_25_q1,1124.0
spirits,Flavoured Spirits,Flavoured Spirits,fiscal_2024_25_q1,2369.0
spirits,Miscellaneous/Other Spirits,Miscellaneous/Other Spirits,fiscal_2024_25_q1,3968.0
spirits,Asian Spirits China Spirits,Asian Spirits China Spirits,fiscal_2024_25_q2,13655.0
spirits,Korea Spirits,Korea Spirits,fiscal_2024_25_q2,76274.0
spirits,Other Country Asian Spirits,Other Country Asian Spirits,fiscal_2024_25_q2,3980.0
spirits,Gin Dry Gin,Gin Dry Gin,fiscal_2024_25_q2,443014.0
spirits,Flavoured Gin,Flavoured Gin,fiscal_2024_25_q2,33095.0
spirits,Other Gin,Other Gin,fiscal_2024_25_q2,15780.0
spirits,Brandy,Brandy,fiscal_2024_25_q2,62780.0
spirits,Cognac,Cognac,fiscal_2024_25_q2,16417.0
spirits,Eau de Vie,Eau de Vie,fiscal_2024_25_q2,4776.0
spirits,Grappa And Marc 971 911,Grappa And Marc 971 911,fiscal_2024_25_q2,1383.0
spirits,Pisco,Pisco,fiscal_2024_25_q2,3042.0
spirits,Liqueurs Anise And Herbal/Spice Liqueurs,Liqueurs Anise And Herbal/Spice Liqueurs,fiscal_2024_25_q2,301251.0
spirits,Coffee And Cocoa Liqueurs,Coffee And Cocoa Liqueurs,fiscal_2024_25_q2,74604.0
spirits,Cream/Dairy Liqueurs,Cream/Dairy Liqueurs,fiscal_2024_25_q2,279020.0
spirits,Fruit Liqueurs,Fruit Liqueurs,fiscal_2024_25_q2,238989.0
spirits,Nut Liqueurs,Nut Liqueurs,fiscal_2024_25_q2,58760.0
spirits,Other Liqueurs,Other Liqueurs,fiscal_2024_25_q2,41346.0
spirits,Whiskey Liqueurs,Whiskey Liqueurs,fiscal_2024_25_q2,43687.0
spirits,Other Spirits Cachaca 927,Other Spirits Cachaca 927,fiscal_2024_25_q2,1442.0
spirits,Flavoured Spirits,Flavoured Spirits,fiscal_2024_25_q2,2893.0
spirits,Miscellaneous/Other Spirits,Miscellaneous/Other Spirits,fiscal_2024_25_q2,5383.0
spirits,Asian Spirits China Spirits,Asian Spirits China Spirits,fiscal_2024_25_q3,16953.0
spirits,Korea Spirits,Korea Spirits,fiscal_2024_25_q3,75298.0
spirits,Other Country Asian Spirits,Other Country Asian Spirits,fiscal_2024_25_q3,3924.0
