cat_type,category,subcategory,period,netsales
spirits,Asian Spirits China Spirits,Asian Spirits China Spirits,fiscal_2024_25_q1,774814.0
spirits,Korea Spirits,Korea Spirits,fiscal_2024_25_q1,1249008.0
spirits,Other Country Asian Spirits,Other Country Asian Spirits,fiscal_2024_25_q1,150099.0
spirits,Gin Dry Gin,Gin Dry Gin,fiscal_2024_25_q1,13779822.0
spirits,Flavoured Gin,Flavoured Gin,fiscal_2024_25_q1,1168915.0
spirits,Other Gin,Other Gin,fiscal_2024_25_q1,1004660.0
spirits,Grape and Fruit Brandy Armagnac,Grape and Fruit Brandy Armagnac,fiscal_2024_25_q1,27790.0
spirits,Brandy,Brandy,fiscal_2024_25_q1,1989105.0
spirits,Cognac,Cognac,fiscal_2024_25_q1,1867628.0
spirits,Eau de Vie,Eau de Vie,fiscal_2024_25_q1,266303.0
spirits,Grappa And Marc,Grappa And Marc,fiscal_2024_25_q1,61560.0
spirits,Pisco,Pisco,fiscal_2024_25_q1,137896.0
spirits,Liqueurs Anise And Herbal/Spice Liqueurs,Liqueurs Anise And Herbal/Spice Liqueurs,fiscal_2024_25_q1,9250684.0
spirits,Coffee And Cocoa Liqueurs,Coffee And Cocoa Liqueurs,fiscal_2024_25_q1,1749309.0
spirits,Cream/Dairy Liqueurs,Cream/Dairy Liqueurs,fiscal_2024_25_q1,6274718.0
spirits,Fruit Liqueurs,Fruit Liqueurs,fiscal_2024_25_q1,6584692.0
spirits,Nut Liqueurs,Nut Liqueurs,fiscal_2024_25_q1,1422362.0
spirits,Other Liqueurs,Other Liqueurs,fiscal_2024_25_q1,1117327.0
spirits,Whiskey Liqueurs,Whiskey Liqueurs,fiscal_2024_25_q1,1299387.0
spirits,Other Spirits Cachaca,Other Spirits Cachaca,fiscal_2024_25_q1,38574.0
spirits,Flavoured Spirits,Flavoured Spirits,fiscal_2024_25_q1,123152.0
spirits,Miscellaneous/Other Spirits,Miscellaneous/Other Spirits,fiscal_2024_25_q1,192584.0
spirits,Asian Spirits China Spirits,Asian Spirits China Spirits,fiscal_2024_25_q2,854498.0
spirits,Korea Spirits,Korea Spirits,fiscal_2024_25_q2,1420019.0
spirits,Other Country Asian Spirits,Other Country Asian Spirits,fiscal_2024_25_q2,170605.0
spirits,Gin Dry Gin,Gin Dry Gin,fiscal_2024_25_q2,14415265.0
spirits,Flavoured Gin,Flavoured Gin,fiscal_2024_25_q2,1194470.0
spirits,Other Gin,Other Gin,fiscal_2024_25_q2,811398.0
spirits,Grape and Fruit Brandy Armagnac,Grape and Fruit Brandy Armagnac,fiscal_2024_25_q2,38497.0
spirits,Brandy,Brandy,fiscal_2024_25_q2,1935321.0
spirits,Cognac,Cognac,fiscal_2024_25_q2,1756788.0
spirits,Eau de Vie,Eau de Vie,fiscal_2024_25_q2,273235.0
