cat_type,category,subcategory,period,litres
wine,Argentina Wine Argentina Red Wine,Argentina Wine Argentina Red Wine,fiscal_2024_25_q1,357730.0
wine,Argentina Rose Wine,Argentina Rose Wine,fiscal_2024_25_q1,7708.0
wine,Argentina White Wine,Argentina White Wine,fiscal_2024_25_q1,20282.0
wine,Australia Red Wine,Australia Red Wine,fiscal_2024_25_q1,437320.0
wine,Australia Rose Wine,Australia Rose Wine,fiscal_2024_25_q1,22090.0
wine,Australia Sparkling Wine,Australia Sparkling Wine,fiscal_2024_25_q1,53546.0
wine,Australia White Wine,Australia White Wine,fiscal_2024_25_q1,330222.0
wine,Austria Red Wine 878,Austria Red Wine 878,fiscal_2024_25_q1,1030.0
wine,Austria White Wine,Austria White Wine,fiscal_2024_25_q1,2927.0
wine,Canada,BC Canada - BC Dessert Wine,fiscal_2024_25_q1,2637.0
wine,Canada,BC Fruit Wine,fiscal_2024_25_q1,45177.0
wine,Canada,BC Ice Wine,fiscal_2024_25_q1,7048.0
wine,Canada,BC Red Wine,fiscal_2024_25_q1,3423617.0
wine,Canada,BC Rose Wine,fiscal_2024_25_q1,609403.0
wine,Argentina Wine Argentina Red Wine,Argentina Wine Argentina Red Wine,fiscal_2024_25_q2,344182.0
wine,Argentina Rose Wine,Argentina Rose Wine,fiscal_2024_25_q2,7132.0
wine,Argentina White Wine,Argentina White Wine,fiscal_2024_25_q2,22994.0
wine,Australia Red Wine,Australia Red Wine,fiscal_2024_25_q2,369534.0
wine,Australia Rose Wine,Australia Rose Wine,fiscal_2024_25_q2,17984.0
wine,Australia Sparkling Wine,Australia Sparkling Wine,fiscal_2024_25_q2,50144.0
wine,Australia White Wine,Australia White Wine,fiscal_2024_25_q2,300980.0
wine,Austria Red Wine 878,Austria Red Wine 878,fiscal_2024_25_q2,1060.0
wine,Austria White Wine,Austria White Wine,fiscal_2024_25_q2,3532.0
wine,Canada,BC Canada - BC Dessert Wine,fiscal_2024_25_q2,6355.0
wine,Canada,BC Fruit Wine,fiscal_2024_25_q2,67760.0
wine,Canada,BC Ice Wine,fiscal_2024_25_q2,10389.0
wine,Canada,BC Red Wine,fiscal_2024_25_q2,3551826.0
wine,Canada,BC Rose Wine,fiscal_2024_25_q2,691317.0
wine,Argentina Wine Argentina Red Wine,Argentina Wine Argentina Red Wine,fiscal_2024_25_q3,527610.0
wine,Argentina Rose Wine,Argentina Rose Wine,fiscal_2024_25_q3,2696.0
wine,Argentina White Wine,Argentina White Wine,fiscal_2024_25_q3,27674.0
wine,Australia Red Wine,Australia Red Wine,fiscal_2024_25_q3,526530.0
wine,Australia Rose Wine,Australia Rose Wine,fiscal_2024_25_q3,25699.0
wine,Australia Sparkling Wine,Australia Sparkling Wine,fiscal_2024_25_q3,78608.0
wine,Australia White Wine,Australia White Wine,fiscal_2024_25_q3,359449.0
wine,Austria Red Wine 878,Austria Red Wine 878,fiscal_2024_25_q3,1083.0
wine,Austria White Wine,Austria White Wine,fiscal_2024_25_q3,3410.0
wine,Canada,BC Canada - BC Dessert Wine,fiscal_2024_25_q3,4246.0
wine,Canada,BC Fruit Wine,fiscal_2024_25_q3,65078.0
wine,Canada,BC Ice Wine,fiscal_2024_25_q3,8361.0
wine,Canada,BC Red Wine,fiscal_2024_25_q3,4193332.0
wine,Canada,BC Rose Wine,fiscal_2024_25_q3,410109.0
wine,Argentina Wine Argentina Red Wine,Argentina Wine Argentina Red Wine,fiscal_2024_25_q4,437776.0
wine,Argentina Rose Wine,Argentina Rose Wine,fiscal_2024_25_q4,2785.0
wine,Argentina White Wine,Argentina White Wine,fiscal_2024_25_q4,41647.0
wine,Australia Red Wine,Australia Red Wine,fiscal_2024_25_q4,496722.0
wine,Australia Rose Wine,Australia Rose Wine,fiscal_2024_25_q4,15513.0
wine,Australia Sparkling Wine,Australia Sparkling Wine,fiscal_2024_25_q4,38980.0
wine,Australia White Wine,Australia White Wine,fiscal_2024_25_q4,285037.0
wine,Austria Red Wine 878,Austria Red Wine 878,fiscal_2024_25_q4,1084.0
wine,Austria White Wine,Austria White Wine,fiscal_2024_25_q4,3097.0
wine,Canada,BC Canada - BC Dessert Wine,fiscal_2024_25_q4,4190.0
wine,Canada,BC Fruit Wine,fiscal_2024_25_q4,35416.0
wine,Canada,BC Ice Wine,fiscal_2024_25_q4,6973.0
wine,Canada,BC Red Wine,fiscal_2024_25_q4,3261671.0
wine,Canada,BC Rose Wine,fiscal_2024_25_q4,355386.0
wine,Argentina Wine Argentina Red Wine,Argentina Wine Argentina Red Wine,fiscal_2025_26_q1,461147.0
wine,Argentina Rose Wine,Argentina Rose Wine,fiscal_2025_26_q1,7822.0
wine,Argentina White Wine,Argentina White Wine,fiscal_2025_26_q1,52248.0
wine,Australia Red Wine,Australia Red Wine,fiscal_2025_26_q1,476629.0
wine,Australia Rose Wine,Australia Rose Wine,fiscal_2025_26_q1,23674.0
wine,Australia Sparkling Wine,Australia Sparkling Wine,fiscal_2025_26_q1,53501.0
wine,Australia White Wine,Australia White Wine,fiscal_2025_26_q1,397359.0
