cat_type,category,subcategory,period,netsales
wine,Argentina Wine Argentina Red Wine,Argentina Wine Argentina Red Wine,fiscal_2024_25_q1,5672540.0
wine,Argentina Rose Wine,Argentina Rose Wine,fiscal_2024_25_q1,104550.0
wine,Argentina Sparkling Wine,Argentina Sparkling Wine,fiscal_2024_25_q1,6592.0
wine,Argentina White Wine,Argentina White Wine,fiscal_2024_25_q1,292790.0
wine,Australia Wine Australia Fruit and Dessert Wine,Australia Wine Australia Fruit and Dessert Wine,fiscal_2024_25_q1,520.0
wine,Australia Red Wine,Australia Red Wine,fiscal_2024_25_q1,6108347.0
wine,Australia Rose Wine,Australia Rose Wine,fiscal_2024_25_q1,290981.0
wine,Australia Sparkling Wine,Australia Sparkling Wine,fiscal_2024_25_q1,792734.0
wine,Australia White Wine,Australia White Wine,fiscal_2024_25_q1,3918695.0
wine,Austria Wine Austria Fruit and Dessert Wine,Austria Wine Austria Fruit and Dessert Wine,fiscal_2024_25_q1,4474.0
wine,Austria Red Wine,Austria Red Wine,fiscal_2024_25_q1,34782.0
wine,Austria Rose Wine,Austria Rose Wine,fiscal_2024_25_q1,5309.0
wine,Austria Sparkling Wine,Austria Sparkling Wine,fiscal_2024_25_q1,3324.0
wine,Austria White Wine,Austria White Wine,fiscal_2024_25_q1,88325.0
wine,Bulgaria Wine Bulgaria Red Wine,Bulgaria Wine Bulgaria Red Wine,fiscal_2024_25_q1,0.0
wine,Bulgaria Rose Wine,Bulgaria Rose Wine,fiscal_2024_25_q1,0.0
wine,Bulgaria White Wine,Bulgaria White Wine,fiscal_2024_25_q1,0.0
wine,Canada,BC Canada - BC Dessert Wine,fiscal_2024_25_q1,129770.0
wine,Canada,BC Fruit Wine,fiscal_2024_25_q1,898582.0
wine,Canada,BC Ice Wine,fiscal_2024_25_q1,742252.0
wine,Canada,BC Red Wine,fiscal_2024_25_q1,51264602.0
wine,Canada,BC Rose Wine,fiscal_2024_25_q1,10827253.0
wine,Argentina Wine Argentina Red Wine,Argentina Wine Argentina Red Wine,fiscal_2024_25_q2,5479716.0
wine,Argentina Rose Wine,Argentina Rose Wine,fiscal_2024_25_q2,105396.0
wine,Argentina Sparkling Wine,Argentina Sparkling Wine,fiscal_2024_25_q2,10974.0
wine,Argentina White Wine,Argentina White Wine,fiscal_2024_25_q2,324104.0
wine,Australia Wine Australia Fruit and Dessert Wine,Australia Wine Australia Fruit and Dessert Wine,fiscal_2024_25_q2,192.0
wine,Australia Red Wine,Australia Red Wine,fiscal_2024_25_q2,5393024.0
wine,Australia Rose Wine,Australia Rose Wine,fiscal_2024_25_q2,230973.0
wine,Australia Sparkling Wine,Australia Sparkling Wine,fiscal_2024_25_q2,770180.0
wine,Australia White Wine,Australia White Wine,fiscal_2024_25_q2,3715642.0
wine,Austria Wine Austria Fruit and Dessert Wine,Austria Wine Austria Fruit and Dessert Wine,fiscal_2024_25_q2,2779.0
