cat_type,category,subcategory,FY2025Q2,FY2025Q3,FY2025Q4,FY2026Q1,FY2026Q2
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,30474912.0,25656254.0,23403198.0,27821034.0,28372906.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,7969703.0,6060017.0,5760426.0,7310463.0,7641429.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,14189713.0,12468536.0,11379616.0,14582792.0,14157556.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,10503368.0,7535079.0,7007229.0,10581262.0,10499917.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,32014.0,26279.0,20560.0,30578.0,38680.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,131145.0,119865.0,130879.0,171556.0,136780.0
Beer,Import Beer,Asia And South Pacific Beer,330992.0,300872.0,280156.0,324718.0,347349.0
Beer,Import Beer,Europe Beer,3390398.0,3220027.0,2984514.0,3125726.0,3225366.0
Beer,Import Beer,Mexico And Caribbean Beer,541430.0,357119.0,310821.0,438323.0,421135.0
Beer,Import Beer,Other Country Beer,113715.0,106396.0,97992.0,108243.0,110677.0
Beer,Import Beer,USA Beer,81763.0,41107.0,25497.0,10472.0,7300.0
