cat_type,category,subcategory,period,litres
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q2,30474912.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q2,7969703.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q2,14189713.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q2,10503368.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q2,32014.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q2,131145.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q2,330992.0
Beer,Import Beer,Europe Beer,FY2025Q2,3390398.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q2,541430.0
Beer,Import Beer,Other Country Beer,FY2025Q2,113715.0
Beer,Import Beer,USA Beer,FY2025Q2,81763.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q3,25656254.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q3,6060017.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q3,12468536.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q3,7535079.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q3,26279.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q3,119865.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q3,300872.0
Beer,Import Beer,Europe Beer,FY2025Q3,3220027.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q3,357119.0
Beer,Import Beer,Other Country Beer,FY2025Q3,106396.0
Beer,Import Beer,USA Beer,FY2025Q3,41107.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q4,23403198.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q4,5760426.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q4,11379616.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q4,7007229.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q4,20560.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q4,130879.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q4,280156.0
Beer,Import Beer,Europe Beer,FY2025Q4,2984514.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q4,310821.0
Beer,Import Beer,Other Country Beer,FY2025Q4,97992.0
Beer,Import Beer,USA Beer,FY2025Q4,25497.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q1,27821034.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q1,7310463.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q1,14582792.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q1,10581262.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q1,30578.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q1,171556.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q1,324718.0
Beer,Import Beer,Europe Beer,FY2026Q1,3125726.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q1,438323.0
Beer,Import Beer,Other Country Beer,FY2026Q1,108243.0
Beer,Import Beer,USA Beer,FY2026Q1,10472.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q2,28372906.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q2,7641429.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q2,14157556.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q2,10499917.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q2,38680.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q2,136780.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q2,347349.0
Beer,Import Beer,Europe Beer,FY2026Q2,3225366.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q2,421135.0
Beer,Import Beer,Other Country Beer,FY2026Q2,110677.0
Beer,Import Beer,USA Beer,FY2026Q2,7300.0
