cat_type,category,subcategory,FY2025Q2,FY2025Q3,FY2025Q4,FY2026Q1,FY2026Q2
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,118276668.0,101448870.0,92915416.0,110105640.0,109671124.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,40372022.0,31141908.0,29106240.0,37416017.0,39178297.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,55044093.0,48583530.0,43766428.0,56248766.0,55196148.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,49459271.0,36121151.0,33555547.0,49168617.0,48873856.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,202178.0,197971.0,138141.0,195036.0,239087.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,516105.0,465121.0,493752.0,645801.0,477799.0
Beer,Import Beer,Asia And South Pacific Beer,1925110.0,1763305.0,1660918.0,1922912.0,2061525.0
Beer,Import Beer,Europe Beer,18358912.0,17525225.0,16589986.0,17175610.0,17690216.0
Beer,Import Beer,Mexico And Caribbean Beer,3310361.0,2230129.0,1968593.0,2762857.0,2678091.0
Beer,Import Beer,Other Country Beer,716862.0,660592.0,617009.0,680222.0,695669.0
Beer,Import Beer,USA Beer,525573.0,253749.0,179983.0,75664.0,49217.0
