cat_type,category,subcategory,period,netsales
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q2,118276668.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q2,40372022.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q2,55044093.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q2,49459271.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q2,202178.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q2,516105.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q2,1925110.0
Beer,Import Beer,Europe Beer,FY2025Q2,18358912.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q2,3310361.0
Beer,Import Beer,Other Country Beer,FY2025Q2,716862.0
Beer,Import Beer,USA Beer,FY2025Q2,525573.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q3,101448870.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q3,31141908.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q3,48583530.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q3,36121151.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q3,197971.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q3,465121.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q3,1763305.0
Beer,Import Beer,Europe Beer,FY2025Q3,17525225.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q3,2230129.0
Beer,Import Beer,Other Country Beer,FY2025Q3,660592.0
Beer,Import Beer,USA Beer,FY2025Q3,253749.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q4,92915416.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q4,29106240.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q4,43766428.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q4,33555547.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q4,138141.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q4,493752.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q4,1660918.0
Beer,Import Beer,Europe Beer,FY2025Q4,16589986.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q4,1968593.0
Beer,Import Beer,Other Country Beer,FY2025Q4,617009.0
Beer,Import Beer,USA Beer,FY2025Q4,179983.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q1,110105640.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q1,37416017.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q1,56248766.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q1,49168617.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q1,195036.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q1,645801.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q1,1922912.0
Beer,Import Beer,Europe Beer,FY2026Q1,17175610.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q1,2762857.0
Beer,Import Beer,Other Country Beer,FY2026Q1,680222.0
Beer,Import Beer,USA Beer,FY2026Q1,75664.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q2,109671124.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q2,39178297.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q2,55196148.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q2,48873856.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q2,239087.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q2,477799.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q2,2061525.0
Beer,Import Beer,Europe Beer,FY2026Q2,17690216.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q2,2678091.0
Beer,Import Beer,Other Country Beer,FY2026Q2,695669.0
Beer,Import Beer,USA Beer,FY2026Q2,49217.0
