cat_type,category,subcategory,period,litres
Refreshment Beverages,Cider,Domestic Cider,FY2025Q2,2848546.0
Refreshment Beverages,Cider,Import Cider,FY2025Q2,691478.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2025Q2,117201.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2025Q2,22624910.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2025Q2,142573.0
Refreshment Beverages,Cider,Domestic Cider,FY2025Q3,1905192.0
Refreshment Beverages,Cider,Import Cider,FY2025Q3,605747.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2025Q3,52010.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2025Q3,14011494.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2025Q3,99059.0
Refreshment Beverages,Cider,Domestic Cider,FY2025Q4,1660753.0
Refreshment Beverages,Cider,Import Cider,FY2025Q4,494531.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2025Q4,40724.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2025Q4,13278828.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2025Q4,100936.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q1,2453902.0
Refreshment Beverages,Cider,Import Cider,FY2026Q1,677901.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q1,32901.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q1,20385139.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q1,123005.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q2,2720056.0
Refreshment Beverages,Cider,Import Cider,FY2026Q2,687664.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q2,24846.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q2,22291304.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q2,123326.0
