cat_type,category,subcategory,FY2025Q2,FY2025Q3,FY2025Q4,FY2026Q1,FY2026Q2
Spirits,Asian Spirits,China Spirits,13655.0,16953.0,15843.0,12208.0,11846.0
Spirits,Asian Spirits,Korea Spirits,76274.0,75298.0,67378.0,68448.0,73829.0
Spirits,Asian Spirits,Other Country Asian Spirits,3980.0,3924.0,3828.0,2602.0,2903.0
Spirits,Gin,Dry Gin,443014.0,400347.0,309753.0,403129.0,425861.0
Spirits,Gin,Flavoured Gin,33095.0,25906.0,20946.0,34758.0,32032.0
Spirits,Gin,Other Gin,15780.0,14649.0,10877.0,15918.0,15495.0
Spirits,Grape and Fruit Brandy,Armagnac,378.0,575.0,340.0,347.0,271.0
Spirits,Grape and Fruit Brandy,Brandy,62780.0,106122.0,68208.0,63768.0,55182.0
Spirits,Grape and Fruit Brandy,Cognac,16417.0,26920.0,21454.0,16221.0,15837.0
Spirits,Grape and Fruit Brandy,Eau de Vie,4776.0,7748.0,4731.0,5931.0,4789.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,971.0,1383.0,1077.0,911.0,824.0
Spirits,Grape and Fruit Brandy,Pisco,3042.0,3319.0,3297.0,2968.0,3160.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,301251.0,341276.0,259293.0,315130.0,294454.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,74604.0,132805.0,73100.0,67345.0,78974.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,279020.0,689125.0,217412.0,212970.0,276232.0
Spirits,Liqueurs,Fruit Liqueurs,238989.0,232421.0,176383.0,201934.0,209456.0
Spirits,Liqueurs,Nut Liqueurs,63928.0,72478.0,42329.0,55825.0,63152.0
Spirits,Liqueurs,Other Liqueurs,41346.0,45725.0,27671.0,34229.0,38704.0
Spirits,Liqueurs,Whiskey Liqueurs,43687.0,68094.0,50390.0,39738.0,42253.0
Spirits,Other Spirits,Cachaca,1442.0,927.0,1267.0,1518.0,1563.0
Spirits,Other Spirits,Flavoured Spirits,2893.0,17905.0,1887.0,1610.0,3231.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,5383.0,4109.0,4582.0,4026.0,3469.0
Spirits,Other Spirits,Moonshine Spirits,14737.0,13042.0,8974.0,3662.0,8655.0
Spirits,Other Spirits,Ready to Mix Cocktails,28841.0,25584.0,23656.0,28623.0,30303.0
Spirits,Other Spirits,Ready to Serve Cocktails,96719.0,48679.0,41550.0,53766.0,66430.0
Spirits,Other Spirits,Schnapps and Akvavit,879.0,1571.0,917.0,1008.0,961.0
Spirits,Rum,Amber Rum,180964.0,245381.0,151381.0,146935.0,164646.0
Spirits,Rum,Dark Rum,80504.0,120467.0,83830.0,90798.0,92631.0
Spirits,Rum,Flavoured Rum,15657.0,14054.0,11215.0,8561.0,10011.0
Spirits,Rum,Spiced Rum,221764.0,374126.0,200015.0,177232.0,187597.0
Spirits,Rum,White Rum,284439.0,289248.0,217469.0,244280.0,258552.0
Spirits,Tequila,Blanco/Silver Tequila,244509.0,176971.0,161258.0,217895.0,247407.0
Spirits,Tequila,Flavoured Tequila,20366.0,17549.0,11924.0,25823.0,24354.0
Spirits,Tequila,Gold Tequila,222106.0,194204.0,149831.0,215840.0,214559.0
Spirits,Tequila,Mezcal,17782.0,14372.0,13742.0,16656.0,16828.0
Spirits,Vodka,Flavoured Vodka,146091.0,133769.0,116415.0,119483.0,119349.0
Spirits,Vodka,Straight Vodka,2121721.0,2242889.0,1851897.0,2027675.0,2096240.0
Spirits,Whisky,American Whiskey,69545.0,89930.0,62318.0,12225.0,31876.0
Spirits,Whisky,Blended Malt Scotch Whisky,4379.0,5383.0,4397.0,4345.0,3654.0
Spirits,Whisky,Blended Scotch Whisky,201197.0,246803.0,197612.0,197744.0,186852.0
Spirits,Whisky,Bourbon Whiskey,124175.0,182415.0,112076.0,13293.0,50339.0
Spirits,Whisky,Canadian Whisky,1046214.0,1221944.0,956487.0,1121525.0,1041240.0
Spirits,Whisky,Flavoured Whisky,25958.0,29538.0,14972.0,12720.0,19616.0
Spirits,Whisky,Irish Whiskey,133056.0,183153.0,138128.0,130209.0,137088.0
Spirits,Whisky,Other Country Whisky,13961.0,28486.0,15855.0,16347.0,14594.0
Spirits,Whisky,Single Malt Scotch Whisky,90776.0,164738.0,90933.0,99358.0,88188.0
