cat_type,category,subcategory,FY2025Q2,FY2025Q3,FY2025Q4,FY2026Q1,FY2026Q2
Spirits,Asian Spirits,China Spirits,854498.0,1657988.0,1455746.0,784261.0,653141.0
Spirits,Asian Spirits,Korea Spirits,1420019.0,1417005.0,1270656.0,1290297.0,1372974.0
Spirits,Asian Spirits,Other Country Asian Spirits,170605.0,168408.0,162967.0,111724.0,132061.0
Spirits,Gin,Dry Gin,14415265.0,13202535.0,10179664.0,13000635.0,13801381.0
Spirits,Gin,Flavoured Gin,1194470.0,1017242.0,779457.0,1278962.0,1191548.0
Spirits,Gin,Other Gin,811398.0,741361.0,562253.0,805741.0,760123.0
Spirits,Grape and Fruit Brandy,Armagnac,38497.0,56954.0,48284.0,36832.0,28701.0
Spirits,Grape and Fruit Brandy,Brandy,1935321.0,3224104.0,2062821.0,1894827.0,1689430.0
Spirits,Grape and Fruit Brandy,Cognac,1756788.0,2852656.0,2557535.0,1732944.0,1658873.0
Spirits,Grape and Fruit Brandy,Eau de Vie,273235.0,378369.0,240257.0,308020.0,247185.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,53493.0,85520.0,63854.0,51570.0,47265.0
Spirits,Grape and Fruit Brandy,Pisco,132506.0,135319.0,145198.0,131034.0,137626.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,9300653.0,10393253.0,8131436.0,9626771.0,9239734.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,2048655.0,3594367.0,1980513.0,1864064.0,2263045.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,7834161.0,19166462.0,5964526.0,5916616.0,7770609.0
Spirits,Liqueurs,Fruit Liqueurs,7453980.0,7571281.0,5713694.0,6335271.0,6759495.0
Spirits,Liqueurs,Nut Liqueurs,1769586.0,2125105.0,1256284.0,1496543.0,1697065.0
Spirits,Liqueurs,Other Liqueurs,1385733.0,1485052.0,927469.0,1167344.0,1395776.0
Spirits,Liqueurs,Whiskey Liqueurs,1320122.0,2133466.0,1515319.0,1146481.0,1266618.0
Spirits,Other Spirits,Cachaca,48140.0,32788.0,42205.0,50903.0,54329.0
Spirits,Other Spirits,Flavoured Spirits,153016.0,474591.0,84871.0,83673.0,150689.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,255170.0,211344.0,233685.0,185720.0,176101.0
Spirits,Other Spirits,Moonshine Spirits,656801.0,626064.0,413007.0,171260.0,404230.0
Spirits,Other Spirits,Ready to Mix Cocktails,565754.0,517400.0,473349.0,573108.0,601181.0
Spirits,Other Spirits,Ready to Serve Cocktails,1978686.0,1370774.0,1129564.0,1391916.0,1695562.0
Spirits,Other Spirits,Schnapps and Akvavit,36179.0,77952.0,45896.0,44707.0,41850.0
Spirits,Rum,Amber Rum,5744085.0,7835310.0,4879050.0,4798244.0,5526490.0
Spirits,Rum,Dark Rum,2347432.0,3601239.0,2458945.0,2654560.0,2728571.0
Spirits,Rum,Flavoured Rum,449130.0,489524.0,373076.0,315424.0,374553.0
Spirits,Rum,Spiced Rum,6647524.0,10933386.0,6080225.0,5292421.0,5583671.0
Spirits,Rum,White Rum,7093339.0,7154280.0,5507126.0,6162394.0,6507816.0
Spirits,Tequila,Blanco/Silver Tequila,12061795.0,9103748.0,7966119.0,10602184.0,11926629.0
Spirits,Tequila,Flavoured Tequila,1036314.0,942166.0,622431.0,1257483.0,1212758.0
Spirits,Tequila,Gold Tequila,11721646.0,10829780.0,8075055.0,11080863.0,11315329.0
Spirits,Tequila,Mezcal,1182362.0,971853.0,943342.0,1114986.0,1135345.0
Spirits,Vodka,Flavoured Vodka,4589808.0,4224475.0,3689708.0,3731280.0,3743221.0
Spirits,Vodka,Straight Vodka,56909045.0,59979356.0,48944870.0,53794562.0,55828395.0
Spirits,Whisky,American Whiskey,2752420.0,3861557.0,2525901.0,321000.0,1243584.0
Spirits,Whisky,Blended Malt Scotch Whisky,247446.0,336337.0,256288.0,253154.0,240879.0
Spirits,Whisky,Blended Scotch Whisky,7157899.0,9410912.0,7139807.0,6980436.0,6696625.0
Spirits,Whisky,Bourbon Whiskey,5702506.0,8862492.0,5179484.0,419971.0,2343850.0
Spirits,Whisky,Canadian Whisky,28605601.0,33687735.0,26574853.0,31324101.0,28961816.0
Spirits,Whisky,Flavoured Whisky,815226.0,984183.0,479616.0,399390.0,629610.0
Spirits,Whisky,Irish Whiskey,5268994.0,7430855.0,5477868.0,5314696.0,5417389.0
Spirits,Whisky,Other Country Whisky,1132184.0,3016923.0,1335623.0,1350206.0,1202263.0
Spirits,Whisky,Single Malt Scotch Whisky,8066775.0,16274171.0,8581950.0,8920136.0,8134385.0
