cat_type,category,subcategory,period,litres
Wine,Argentina Wine,Argentina Red Wine,FY2025Q2,345760.0
Wine,Argentina Wine,Argentina Rose Wine,FY2025Q2,7132.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2025Q2,566.0
Wine,Argentina Wine,Argentina White Wine,FY2025Q2,24362.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2025Q2,6.0
Wine,Australia Wine,Australia Red Wine,FY2025Q2,369534.0
Wine,Australia Wine,Australia Rose Wine,FY2025Q2,17984.0
Wine,Australia Wine,Australia Sparkling Wine,FY2025Q2,50144.0
Wine,Australia Wine,Australia White Wine,FY2025Q2,300980.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2025Q2,54.0
Wine,Austria Wine,Austria Red Wine,FY2025Q2,1060.0
Wine,Austria Wine,Austria Rose Wine,FY2025Q2,242.0
Wine,Austria Wine,Austria Sparkling Wine,FY2025Q2,144.0
Wine,Austria Wine,Austria White Wine,FY2025Q2,3532.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2025Q2,0.0
Wine,Bulgaria Wine,Bulgaria Rose Wine,FY2025Q2,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2025Q2,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2025Q2,6663.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2025Q2,67760.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2025Q2,10389.0
Wine,Canada - BC,Canada - BC Red Wine,FY2025Q2,3551861.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2025Q2,691009.0
Wine,Argentina Wine,Argentina Red Wine,FY2025Q3,530741.0
Wine,Argentina Wine,Argentina Rose Wine,FY2025Q3,2696.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2025Q3,526.0
Wine,Argentina Wine,Argentina White Wine,FY2025Q3,29012.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2025Q3,10.0
Wine,Australia Wine,Australia Red Wine,FY2025Q3,526530.0
Wine,Australia Wine,Australia Rose Wine,FY2025Q3,25699.0
Wine,Australia Wine,Australia Sparkling Wine,FY2025Q3,78608.0
Wine,Australia Wine,Australia White Wine,FY2025Q3,359449.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2025Q3,112.0
Wine,Austria Wine,Austria Red Wine,FY2025Q3,1083.0
Wine,Austria Wine,Austria Rose Wine,FY2025Q3,189.0
Wine,Austria Wine,Austria Sparkling Wine,FY2025Q3,135.0
Wine,Austria Wine,Austria White Wine,FY2025Q3,3410.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2025Q3,0.0
Wine,Bulgaria Wine,Bulgaria Rose Wine,FY2025Q3,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2025Q3,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2025Q3,4265.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2025Q3,65078.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2025Q3,8361.0
Wine,Canada - BC,Canada - BC Red Wine,FY2025Q3,4193275.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2025Q3,410090.0
Wine,Argentina Wine,Argentina Red Wine,FY2025Q4,439105.0
Wine,Argentina Wine,Argentina Rose Wine,FY2025Q4,2785.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2025Q4,459.0
Wine,Argentina Wine,Argentina White Wine,FY2025Q4,42988.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2025Q4,114.0
Wine,Australia Wine,Australia Red Wine,FY2025Q4,496722.0
Wine,Australia Wine,Australia Rose Wine,FY2025Q4,15513.0
Wine,Australia Wine,Australia Sparkling Wine,FY2025Q4,38980.0
Wine,Australia Wine,Australia White Wine,FY2025Q4,285037.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2025Q4,81.0
Wine,Austria Wine,Austria Red Wine,FY2025Q4,1084.0
Wine,Austria Wine,Austria Rose Wine,FY2025Q4,387.0
Wine,Austria Wine,Austria Sparkling Wine,FY2025Q4,9.0
Wine,Austria Wine,Austria White Wine,FY2025Q4,3097.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2025Q4,0.0
Wine,Bulgaria Wine,Bulgaria Rose Wine,FY2025Q4,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2025Q4,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2025Q4,4190.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2025Q4,35416.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2025Q4,6973.0
Wine,Canada - BC,Canada - BC Red Wine,FY2025Q4,3261635.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2025Q4,355386.0
Wine,Argentina Wine,Argentina Red Wine,FY2026Q1,462123.0
Wine,Argentina Wine,Argentina Rose Wine,FY2026Q1,7822.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2026Q1,522.0
Wine,Argentina Wine,Argentina White Wine,FY2026Q1,53850.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2026Q1,21.0
Wine,Australia Wine,Australia Red Wine,FY2026Q1,476629.0
Wine,Australia Wine,Australia Rose Wine,FY2026Q1,23674.0
Wine,Australia Wine,Australia Sparkling Wine,FY2026Q1,53501.0
Wine,Australia Wine,Australia White Wine,FY2026Q1,397359.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2026Q1,34.0
Wine,Austria Wine,Austria Red Wine,FY2026Q1,878.0
Wine,Austria Wine,Austria Rose Wine,FY2026Q1,346.0
Wine,Austria Wine,Austria Sparkling Wine,FY2026Q1,86.0
Wine,Austria Wine,Austria White Wine,FY2026Q1,4022.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2026Q1,0.0
Wine,Bulgaria Wine,Bulgaria Rose Wine,FY2026Q1,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2026Q1,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2026Q1,3776.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2026Q1,48316.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2026Q1,6664.0
Wine,Canada - BC,Canada - BC Red Wine,FY2026Q1,3481526.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2026Q1,632955.0
Wine,Argentina Wine,Argentina Red Wine,FY2026Q2,398251.0
Wine,Argentina Wine,Argentina Rose Wine,FY2026Q2,6614.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2026Q2,760.0
Wine,Argentina Wine,Argentina White Wine,FY2026Q2,66285.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2026Q2,10.0
Wine,Australia Wine,Australia Red Wine,FY2026Q2,410972.0
Wine,Australia Wine,Australia Rose Wine,FY2026Q2,23804.0
Wine,Australia Wine,Australia Sparkling Wine,FY2026Q2,44147.0
Wine,Australia Wine,Australia White Wine,FY2026Q2,395170.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2026Q2,56.0
Wine,Austria Wine,Austria Red Wine,FY2026Q2,1034.0
Wine,Austria Wine,Austria Rose Wine,FY2026Q2,274.0
Wine,Austria Wine,Austria Sparkling Wine,FY2026Q2,224.0
Wine,Austria Wine,Austria White Wine,FY2026Q2,3972.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2026Q2,0.0
Wine,Bulgaria Wine,Bulgaria Rose Wine,FY2026Q2,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2026Q2,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2026Q2,7230.0
