cat_type,category,subcategory,FY2025Q2,FY2025Q3,FY2025Q4,FY2026Q1,FY2026Q2
Wine,Argentina Wine,Argentina Red Wine,5516322.0,8293735.0,6674851.0,7129654.0,6252204.0
Wine,Argentina Wine,Argentina Rose Wine,105396.0,39821.0,38926.0,111321.0,98803.0
Wine,Argentina Wine,Argentina Sparkling Wine,10974.0,10256.0,8773.0,10450.0,14013.0
Wine,Argentina Wine,Argentina White Wine,354565.0,412097.0,576922.0,746465.0,980794.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,192.0,429.0,5871.0,1010.0,390.0
Wine,Australia Wine,Australia Red Wine,5393024.0,7400320.0,6996647.0,6961885.0,6024120.0
Wine,Australia Wine,Australia Rose Wine,230973.0,305850.0,219415.0,311084.0,295024.0
Wine,Australia Wine,Australia Sparkling Wine,770180.0,1147352.0,598083.0,805384.0,683528.0
Wine,Australia Wine,Australia White Wine,3715642.0,4238263.0,3473585.0,4734229.0,4691970.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,2779.0,6297.0,4176.0,2438.0,2887.0
Wine,Austria Wine,Austria Red Wine,35434.0,36550.0,34396.0,30714.0,33910.0
Wine,Austria Wine,Austria Rose Wine,9542.0,6765.0,13457.0,12263.0,10115.0
Wine,Austria Wine,Austria Sparkling Wine,5270.0,5975.0,287.0,2920.0,7701.0
Wine,Austria Wine,Austria White Wine,116264.0,108595.0,107802.0,132301.0,129457.0
Wine,Bulgaria Wine,Bulgaria Red Wine,0.0,0.0,0.0,0.0,0.0
Wine,Bulgaria Wine,Bulgaria Rose Wine,0.0,0.0,0.0,0.0,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,0.0,0.0,0.0,0.0,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,327378.0,210781.0,197815.0,205612.0,358438.0
Wine,Canada - BC,Canada - BC Fruit Wine,1404221.0,1301850.0,719025.0,959401.0,1555698.0
Wine,Canada - BC,Canada - BC Ice Wine,1118339.0,887417.0,794502.0,841727.0,997168.0
Wine,Canada - BC,Canada - BC Red Wine,61089871.0,65876695.0,49701991.0,55372027.0,64513488.0
Wine,Canada - BC,Canada - BC Rose Wine,13015391.0,6829663.0,5883440.0,11182042.0,12595920.0
Wine,Canada - BC,Canada - BC Sparkling Wine,6788086.0,6758477.0,3900679.0,6865969.0,8178805.0
Wine,Canada - BC,Canada - BC White Wine,62882631.0,51732137.0,42310784.0,56034690.0,60839360.0
Wine,Canada - Other,Canada - Other Dessert Wine,6752.0,11992.0,4162.0,4036.0,9262.0
Wine,Canada - Other,Canada - Other Fruit Wine,4724.0,1807.0,1093.0,1634.0,3536.0
Wine,Canada - Other,Canada - Other Ice Wine,573495.0,791542.0,901687.0,508044.0,1442645.0
Wine,Canada - Other,Canada - Other Red Wine,318354.0,351238.0,311134.0,306456.0,461493.0
Wine,Canada - Other,Canada - Other Rose Wine,83292.0,54404.0,42591.0,104643.0,83475.0
Wine,Canada - Other,Canada - Other Sparkling Wine,535291.0,826732.0,436740.0,683107.0,712458.0
Wine,Canada - Other,Canada - Other White Wine,485133.0,479944.0,401842.0,524468.0,619642.0
Wine,Chile Wine,Chile Fruit and Dessert Wine,640.0,640.0,480.0,481.0,491.0
Wine,Chile Wine,Chile Red Wine,6136002.0,7888562.0,6825361.0,6811691.0,7019516.0
Wine,Chile Wine,Chile Rose Wine,697032.0,263047.0,277056.0,586642.0,791694.0
Wine,Chile Wine,Chile Sparkling Wine,43468.0,58295.0,44312.0,44068.0,28234.0
Wine,Chile Wine,Chile White Wine,3845838.0,3282790.0,3183204.0,3784795.0,3840767.0
Wine,China Wine,China Fruit and Dessert Wine,7279.0,10928.0,15095.0,3945.0,1704.0
Wine,China Wine,China Red Wine,251.0,793.0,3829.0,125.0,376.0
Wine,China Wine,China White Wine,125.0,251.0,0.0,13317.0,0.0
Wine,Fortified Wine,Other Fortified Domestic Wine,831142.0,808514.0,627272.0,631109.0,880297.0
Wine,Fortified Wine,Other Fortified Import Wine,302519.0,444144.0,344998.0,352124.0,298935.0
Wine,Fortified Wine,Port Wine,493539.0,1125303.0,505466.0,479140.0,497371.0
Wine,Fortified Wine,Sherry Wine,211104.0,471357.0,265364.0,230111.0,209093.0
Wine,Fortified Wine,Vermouth Wine,847477.0,1028428.0,797168.0,887966.0,879816.0
Wine,France Wine,France Champagne Wine,4275605.0,7626297.0,2990248.0,3854924.0,4662635.0
Wine,France Wine,France Fruit and Dessert Wine,51886.0,17601.0,26062.0,14904.0,18218.0
Wine,France Wine,France Red Wine,10871149.0,9243467.0,7269303.0,7375557.0,10841950.0
Wine,France Wine,France Rose Wine,4493437.0,2066788.0,1842927.0,4161833.0,5031569.0
Wine,France Wine,France Sparkling Wine,940650.0,1177008.0,746617.0,958205.0,967186.0
Wine,France Wine,France White Wine,5135959.0,5342684.0,4596256.0,5889322.0,6065745.0
Wine,Georgia Wine,Georgia Red Wine,60762.0,112556.0,86462.0,82533.0,64082.0
Wine,Georgia Wine,Georgia Rose Wine,399.0,3346.0,389.0,520.0,345.0
Wine,Georgia Wine,Georgia Sparkling Wine,1288.0,1503.0,429.0,1332.0,1018.0
Wine,Georgia Wine,Georgia White Wine,15880.0,16017.0,17950.0,21465.0,16927.0
Wine,Germany Wine,Germany Fruit and Dessert Wine,1560.0,0.0,0.0,0.0,0.0
Wine,Germany Wine,Germany Red Wine,34209.0,37563.0,40225.0,35941.0,62716.0
Wine,Germany Wine,Germany Rose Wine,5821.0,0.0,324.0,2258.0,3118.0
Wine,Germany Wine,Germany Sparkling Wine,558139.0,1132392.0,437480.0,623129.0,543725.0
Wine,Germany Wine,Germany White Wine,858105.0,1133017.0,792004.0,860868.0,859880.0
Wine,Greece Wine,Greece Fruit and Dessert Wine,0.0,0.0,2194.0,0.0,0.0
Wine,Greece Wine,Greece Red Wine,79848.0,133077.0,136359.0,136640.0,109557.0
Wine,Greece Wine,Greece Rose Wine,20167.0,12714.0,7701.0,15927.0,17198.0
Wine,Greece Wine,Greece Sparkling Wine,3838.0,6997.0,4938.0,9340.0,1387.0
Wine,Greece Wine,Greece White Wine,118999.0,99102.0,155553.0,168928.0,177220.0
Wine,Hungary Wine,Hungary Fruit and Dessert Wine,18675.0,20985.0,41750.0,13525.0,21582.0
Wine,Hungary Wine,Hungary Red Wine,16365.0,19191.0,20569.0,18266.0,16158.0
Wine,Hungary Wine,Hungary Rose Wine,901.0,78.0,0.0,0.0,110.0
Wine,Hungary Wine,Hungary Sparkling Wine,103994.0,100965.0,53834.0,66504.0,91588.0
Wine,Hungary Wine,Hungary White Wine,84220.0,80828.0,72381.0,71377.0,106986.0
Wine,Israel Wine,Israel Red Wine,24376.0,31926.0,31051.0,37197.0,24704.0
Wine,Israel Wine,Israel Rose Wine,4379.0,1521.0,6761.0,5412.0,2435.0
Wine,Israel Wine,Israel White Wine,6102.0,4829.0,7748.0,13367.0,8330.0
