cat_type,category,subcategory,period,netsales
Wine,Argentina Wine,Argentina Red Wine,FY2025Q2,5516322.0
Wine,Argentina Wine,Argentina Rose Wine,FY2025Q2,105396.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2025Q2,10974.0
Wine,Argentina Wine,Argentina White Wine,FY2025Q2,354565.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2025Q2,192.0
Wine,Australia Wine,Australia Red Wine,FY2025Q2,5393024.0
Wine,Australia Wine,Australia Rose Wine,FY2025Q2,230973.0
Wine,Australia Wine,Australia Sparkling Wine,FY2025Q2,770180.0
Wine,Australia Wine,Australia White Wine,FY2025Q2,3715642.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2025Q2,2779.0
Wine,Austria Wine,Austria Red Wine,FY2025Q2,35434.0
Wine,Austria Wine,Austria Rose Wine,FY2025Q2,9542.0
Wine,Austria Wine,Austria Sparkling Wine,FY2025Q2,5270.0
Wine,Austria Wine,Austria White Wine,FY2025Q2,116264.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2025Q2,0.0
Wine,Bulgaria Wine,Bulgaria Rose Wine,FY2025Q2,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2025Q2,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2025Q2,327378.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2025Q2,1404221.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2025Q2,1118339.0
Wine,Canada - BC,Canada - BC Red Wine,FY2025Q2,61089871.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2025Q2,13015391.0
Wine,Argentina Wine,Argentina Red Wine,FY2025Q3,8293735.0
Wine,Argentina Wine,Argentina Rose Wine,FY2025Q3,39821.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2025Q3,10256.0
Wine,Argentina Wine,Argentina White Wine,FY2025Q3,412097.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2025Q3,429.0
Wine,Australia Wine,Australia Red Wine,FY2025Q3,7400320.0
Wine,Australia Wine,Australia Rose Wine,FY2025Q3,305850.0
Wine,Australia Wine,Australia Sparkling Wine,FY2025Q3,1147352.0
Wine,Australia Wine,Australia White Wine,FY2025Q3,4238263.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2025Q3,6297.0
Wine,Austria Wine,Austria Red Wine,FY2025Q3,36550.0
Wine,Austria Wine,Austria Rose Wine,FY2025Q3,6765.0
Wine,Austria Wine,Austria Sparkling Wine,FY2025Q3,5975.0
Wine,Austria Wine,Austria White Wine,FY2025Q3,108595.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2025Q3,0.0
Wine,Bulgaria Wine,Bulgaria Rose Wine,FY2025Q3,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2025Q3,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2025Q3,210781.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2025Q3,1301850.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2025Q3,887417.0
Wine,Canada - BC,Canada - BC Red Wine,FY2025Q3,65876695.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2025Q3,6829663.0
Wine,Argentina Wine,Argentina Red Wine,FY2025Q4,6674851.0
Wine,Argentina Wine,Argentina Rose Wine,FY2025Q4,38926.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2025Q4,8773.0
Wine,Argentina Wine,Argentina White Wine,FY2025Q4,576922.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2025Q4,5871.0
Wine,Australia Wine,Australia Red Wine,FY2025Q4,6996647.0
Wine,Australia Wine,Australia Rose Wine,FY2025Q4,219415.0
Wine,Australia Wine,Australia Sparkling Wine,FY2025Q4,598083.0
Wine,Australia Wine,Australia White Wine,FY2025Q4,3473585.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2025Q4,4176.0
Wine,Austria Wine,Austria Red Wine,FY2025Q4,34396.0
Wine,Austria Wine,Austria Rose Wine,FY2025Q4,13457.0
Wine,Austria Wine,Austria Sparkling Wine,FY2025Q4,287.0
Wine,Austria Wine,Austria White Wine,FY2025Q4,107802.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2025Q4,0.0
Wine,Bulgaria Wine,Bulgaria Rose Wine,FY2025Q4,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2025Q4,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2025Q4,197815.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2025Q4,719025.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2025Q4,794502.0
Wine,Canada - BC,Canada - BC Red Wine,FY2025Q4,49701991.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2025Q4,5883440.0
Wine,Argentina Wine,Argentina Red Wine,FY2026Q1,7129654.0
Wine,Argentina Wine,Argentina Rose Wine,FY2026Q1,111321.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2026Q1,10450.0
Wine,Argentina Wine,Argentina White Wine,FY2026Q1,746465.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2026Q1,1010.0
Wine,Australia Wine,Australia Red Wine,FY2026Q1,6961885.0
Wine,Australia Wine,Australia Rose Wine,FY2026Q1,311084.0
Wine,Australia Wine,Australia Sparkling Wine,FY2026Q1,805384.0
Wine,Australia Wine,Australia White Wine,FY2026Q1,4734229.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2026Q1,2438.0
Wine,Austria Wine,Austria Red Wine,FY2026Q1,30714.0
Wine,Austria Wine,Austria Rose Wine,FY2026Q1,12263.0
Wine,Austria Wine,Austria Sparkling Wine,FY2026Q1,2920.0
Wine,Austria Wine,Austria White Wine,FY2026Q1,132301.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2026Q1,0.0
Wine,Bulgaria Wine,Bulgaria Rose Wine,FY2026Q1,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2026Q1,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2026Q1,205612.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2026Q1,959401.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2026Q1,841727.0
Wine,Canada - BC,Canada - BC Red Wine,FY2026Q1,55372027.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2026Q1,11182042.0
Wine,Argentina Wine,Argentina Red Wine,FY2026Q2,6252204.0
Wine,Argentina Wine,Argentina Rose Wine,FY2026Q2,98803.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2026Q2,14013.0
Wine,Argentina Wine,Argentina White Wine,FY2026Q2,980794.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2026Q2,390.0
Wine,Australia Wine,Australia Red Wine,FY2026Q2,6024120.0
Wine,Australia Wine,Australia Rose Wine,FY2026Q2,295024.0
Wine,Australia Wine,Australia Sparkling Wine,FY2026Q2,683528.0
Wine,Australia Wine,Australia White Wine,FY2026Q2,4691970.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2026Q2,2887.0
Wine,Austria Wine,Austria Red Wine,FY2026Q2,33910.0
