cat_type,category,subcategory,FY2025Q3,FY2025Q4,FY2026Q1,FY2026Q2,FY2026Q3
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,25700525.0,23428966.0,27843585.0,28817586.0,24898023.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6023045.0,5737998.0,7239549.0,7716286.0,5960748.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,12461517.0,11376150.0,14631573.0,14231673.0,12111887.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,7535079.0,7006172.0,10580259.0,10674113.0,7918483.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,23971.0,19487.0,29335.0,37204.0,22541.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,122174.0,133009.0,173713.0,146609.0,146600.0
Beer,Import Beer,Asia And South Pacific Beer,300872.0,280156.0,324718.0,347349.0,267434.0
Beer,Import Beer,Europe Beer,3220027.0,2984514.0,3125714.0,3243667.0,2934764.0
Beer,Import Beer,Mexico And Caribbean Beer,357119.0,310821.0,438323.0,426071.0,316328.0
Beer,Import Beer,Other Country Beer,106396.0,97992.0,108243.0,110677.0,80947.0
Beer,Import Beer,USA Beer,41107.0,25497.0,10472.0,7300.0,2855.0
