cat_type,category,subcategory,period,litres
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q3,25700525.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q3,6023045.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q3,12461517.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q3,7535079.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q3,23971.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q3,122174.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q3,300872.0
Beer,Import Beer,Europe Beer,FY2025Q3,3220027.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q3,357119.0
Beer,Import Beer,Other Country Beer,FY2025Q3,106396.0
Beer,Import Beer,USA Beer,FY2025Q3,41107.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q4,23428966.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q4,5737998.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q4,11376150.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q4,7006172.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q4,19487.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q4,133009.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q4,280156.0
Beer,Import Beer,Europe Beer,FY2025Q4,2984514.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q4,310821.0
Beer,Import Beer,Other Country Beer,FY2025Q4,97992.0
Beer,Import Beer,USA Beer,FY2025Q4,25497.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q1,27843585.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q1,7239549.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q1,14631573.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q1,10580259.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q1,29335.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q1,173713.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q1,324718.0
Beer,Import Beer,Europe Beer,FY2026Q1,3125714.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q1,438323.0
Beer,Import Beer,Other Country Beer,FY2026Q1,108243.0
Beer,Import Beer,USA Beer,FY2026Q1,10472.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q2,28817586.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q2,7716286.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q2,14231673.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q2,10674113.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q2,37204.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q2,146609.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q2,347349.0
Beer,Import Beer,Europe Beer,FY2026Q2,3243667.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q2,426071.0
Beer,Import Beer,Other Country Beer,FY2026Q2,110677.0
Beer,Import Beer,USA Beer,FY2026Q2,7300.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q3,24898023.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q3,5960748.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q3,12111887.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q3,7918483.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q3,22541.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q3,146600.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q3,267434.0
Beer,Import Beer,Europe Beer,FY2026Q3,2934764.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q3,316328.0
Beer,Import Beer,Other Country Beer,FY2026Q3,80947.0
Beer,Import Beer,USA Beer,FY2026Q3,2855.0
