cat_type,category,subcategory,FY2025Q3,FY2025Q4,FY2026Q1,FY2026Q2,FY2026Q3
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,101662513.0,93023743.0,110210177.0,111458367.0,99039614.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,30959113.0,29010913.0,37104651.0,39506414.0,31230812.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,48554097.0,43752860.0,56457525.0,55530941.0,47714448.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,36121151.0,33547557.0,49161867.0,49695296.0,37724158.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,184011.0,133417.0,188195.0,230373.0,152935.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,479081.0,506467.0,659018.0,523179.0,517517.0
Beer,Import Beer,Asia And South Pacific Beer,1763305.0,1660918.0,1922912.0,2061525.0,1634669.0
Beer,Import Beer,Europe Beer,17525225.0,16589986.0,17175540.0,17801360.0,16552365.0
Beer,Import Beer,Mexico And Caribbean Beer,2230129.0,1968593.0,2762857.0,2708593.0,2029820.0
Beer,Import Beer,Other Country Beer,660592.0,617009.0,680222.0,695669.0,506409.0
Beer,Import Beer,USA Beer,253749.0,179983.0,75664.0,49217.0,19980.0
