cat_type,category,subcategory,period,netsales
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q3,101662513.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q3,30959113.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q3,48554097.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q3,36121151.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q3,184011.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q3,479081.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q3,1763305.0
Beer,Import Beer,Europe Beer,FY2025Q3,17525225.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q3,2230129.0
Beer,Import Beer,Other Country Beer,FY2025Q3,660592.0
Beer,Import Beer,USA Beer,FY2025Q3,253749.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q4,93023743.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q4,29010913.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q4,43752860.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q4,33547557.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q4,133417.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q4,506467.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q4,1660918.0
Beer,Import Beer,Europe Beer,FY2025Q4,16589986.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q4,1968593.0
Beer,Import Beer,Other Country Beer,FY2025Q4,617009.0
Beer,Import Beer,USA Beer,FY2025Q4,179983.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q1,110210177.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q1,37104651.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q1,56457525.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q1,49161867.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q1,188195.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q1,659018.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q1,1922912.0
Beer,Import Beer,Europe Beer,FY2026Q1,17175540.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q1,2762857.0
Beer,Import Beer,Other Country Beer,FY2026Q1,680222.0
Beer,Import Beer,USA Beer,FY2026Q1,75664.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q2,111458367.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q2,39506414.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q2,55530941.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q2,49695296.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q2,230373.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q2,523179.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q2,2061525.0
Beer,Import Beer,Europe Beer,FY2026Q2,17801360.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q2,2708593.0
Beer,Import Beer,Other Country Beer,FY2026Q2,695669.0
Beer,Import Beer,USA Beer,FY2026Q2,49217.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q3,99039614.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q3,31230812.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q3,47714448.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q3,37724158.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q3,152935.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q3,517517.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q3,1634669.0
Beer,Import Beer,Europe Beer,FY2026Q3,16552365.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q3,2029820.0
Beer,Import Beer,Other Country Beer,FY2026Q3,506409.0
Beer,Import Beer,USA Beer,FY2026Q3,19980.0
