cat_type,category,subcategory,period,litres
Refreshment Beverages,Cider,Domestic Cider,FY2025Q3,1905192.0
Refreshment Beverages,Cider,Import Cider,FY2025Q3,605747.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2025Q3,52010.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2025Q3,14011494.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2025Q3,99059.0
Refreshment Beverages,Cider,Domestic Cider,FY2025Q4,1660889.0
Refreshment Beverages,Cider,Import Cider,FY2025Q4,494531.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2025Q4,40724.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2025Q4,13278828.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2025Q4,100936.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q1,2453948.0
Refreshment Beverages,Cider,Import Cider,FY2026Q1,677951.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q1,32901.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q1,20385139.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q1,123005.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q2,2753202.0
Refreshment Beverages,Cider,Import Cider,FY2026Q2,687664.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q2,24869.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q2,22299486.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q2,123309.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q3,2130403.0
Refreshment Beverages,Cider,Import Cider,FY2026Q3,475213.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q3,13259.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q3,12722198.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q3,84310.0
