cat_type,category,subcategory,FY2025Q3,FY2025Q4,FY2026Q1,FY2026Q2,FY2026Q3
Spirits,Asian Spirits,China Spirits,16953.0,15843.0,12208.0,11846.0,13200.0
Spirits,Asian Spirits,Korea Spirits,75298.0,67378.0,68448.0,73829.0,62115.0
Spirits,Asian Spirits,Other Country Asian Spirits,3924.0,3828.0,2602.0,2903.0,3050.0
Spirits,Gin,Dry Gin,400347.0,309753.0,403129.0,426758.0,395171.0
Spirits,Gin,Flavoured Gin,25906.0,20946.0,34758.0,32141.0,28314.0
Spirits,Gin,Other Gin,14649.0,10877.0,15918.0,15630.0,18887.0
Spirits,Grape and Fruit Brandy,Armagnac,575.0,340.0,347.0,271.0,998.0
Spirits,Grape and Fruit Brandy,Brandy,106122.0,68208.0,63768.0,55188.0,94473.0
Spirits,Grape and Fruit Brandy,Cognac,26920.0,21454.0,16221.0,15837.0,24415.0
Spirits,Grape and Fruit Brandy,Eau de Vie,7748.0,4731.0,5931.0,5008.0,7170.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,1383.0,1077.0,911.0,826.0,1282.0
Spirits,Grape and Fruit Brandy,Pisco,3319.0,3297.0,2968.0,3160.0,2639.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,341276.0,259293.0,315130.0,294544.0,313312.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,132805.0,73100.0,67345.0,79066.0,107482.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,689125.0,217412.0,212970.0,276232.0,640015.0
Spirits,Liqueurs,Fruit Liqueurs,232421.0,176383.0,201934.0,209869.0,191309.0
Spirits,Liqueurs,Nut Liqueurs,72478.0,42329.0,55825.0,63152.0,71654.0
Spirits,Liqueurs,Other Liqueurs,45725.0,27671.0,34229.0,38773.0,35791.0
Spirits,Liqueurs,Whiskey Liqueurs,68094.0,50390.0,39738.0,42263.0,52156.0
Spirits,Other Spirits,Cachaca,927.0,1267.0,1518.0,1563.0,963.0
Spirits,Other Spirits,Flavoured Spirits,17905.0,1887.0,1610.0,3353.0,2998.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,4109.0,4582.0,4026.0,3562.0,6923.0
Spirits,Other Spirits,Moonshine Spirits,13042.0,8974.0,3662.0,8655.0,7144.0
Spirits,Other Spirits,Ready to Mix Cocktails,25584.0,23656.0,28623.0,30303.0,25096.0
Spirits,Other Spirits,Ready to Serve Cocktails,48679.0,41550.0,53766.0,66678.0,38179.0
Spirits,Other Spirits,Schnapps and Akvavit,1571.0,917.0,1008.0,1000.0,1204.0
Spirits,Rum,Amber Rum,245381.0,151381.0,150238.0,167436.0,238176.0
Spirits,Rum,Dark Rum,120467.0,83830.0,87495.0,89850.0,126722.0
Spirits,Rum,Flavoured Rum,14054.0,11215.0,8561.0,10011.0,9659.0
Spirits,Rum,Spiced Rum,374126.0,200015.0,177232.0,187597.0,284672.0
Spirits,Rum,White Rum,289248.0,217469.0,244280.0,258561.0,285334.0
Spirits,Tequila,Blanco/Silver Tequila,176998.0,161285.0,217958.0,247434.0,174230.0
Spirits,Tequila,Flavoured Tequila,17549.0,11924.0,25823.0,24354.0,17587.0
Spirits,Tequila,Gold Tequila,194204.0,149831.0,215840.0,214559.0,179680.0
Spirits,Tequila,Mezcal,14372.0,13742.0,16656.0,16828.0,12826.0
Spirits,Vodka,Flavoured Vodka,133769.0,116415.0,119483.0,119639.0,119375.0
Spirits,Vodka,Straight Vodka,2242862.0,1851870.0,2027612.0,2097595.0,2062621.0
Spirits,Whisky,American Whiskey,90758.0,62685.0,11810.0,31917.0,35877.0
Spirits,Whisky,Blended Malt Scotch Whisky,5383.0,4397.0,4345.0,3654.0,5290.0
Spirits,Whisky,Blended Scotch Whisky,246803.0,197612.0,197744.0,186852.0,226810.0
Spirits,Whisky,Bourbon Whiskey,182415.0,112076.0,13293.0,50531.0,51123.0
Spirits,Whisky,Canadian Whisky,1221944.0,956487.0,1121525.0,1045279.0,1255344.0
Spirits,Whisky,Flavoured Whisky,29538.0,14972.0,12720.0,19616.0,13868.0
Spirits,Whisky,Irish Whiskey,183153.0,138128.0,130209.0,137088.0,175224.0
Spirits,Whisky,Other Country Whisky,27658.0,15488.0,16761.0,14553.0,23065.0
Spirits,Whisky,Single Malt Scotch Whisky,164738.0,90933.0,99358.0,88188.0,148659.0
