cat_type,category,subcategory,FY2025Q3,FY2025Q4,FY2026Q1,FY2026Q2,FY2026Q3
Spirits,Asian Spirits,China Spirits,1657988.0,1455746.0,784261.0,653141.0,775096.0
Spirits,Asian Spirits,Korea Spirits,1417005.0,1270656.0,1290297.0,1372974.0,1170268.0
Spirits,Asian Spirits,Other Country Asian Spirits,168408.0,162967.0,111724.0,132061.0,144675.0
Spirits,Gin,Dry Gin,13202535.0,10179664.0,13000635.0,13839129.0,13213516.0
Spirits,Gin,Flavoured Gin,1017242.0,779457.0,1278962.0,1195604.0,1077004.0
Spirits,Gin,Other Gin,741361.0,562253.0,805741.0,765575.0,919301.0
Spirits,Grape and Fruit Brandy,Armagnac,56954.0,48284.0,36832.0,28701.0,117021.0
Spirits,Grape and Fruit Brandy,Brandy,3224104.0,2062821.0,1894827.0,1689896.0,2804936.0
Spirits,Grape and Fruit Brandy,Cognac,2852656.0,2557535.0,1732944.0,1658873.0,2519816.0
Spirits,Grape and Fruit Brandy,Eau de Vie,378369.0,240257.0,308020.0,261493.0,369686.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,85520.0,63854.0,51570.0,47384.0,74851.0
Spirits,Grape and Fruit Brandy,Pisco,135319.0,145198.0,131034.0,137626.0,113961.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,10393253.0,8131436.0,9626771.0,9245551.0,9698721.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,3594367.0,1980513.0,1864064.0,2267320.0,2997284.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,19166462.0,5964526.0,5916616.0,7770609.0,18070214.0
Spirits,Liqueurs,Fruit Liqueurs,7571281.0,5713694.0,6335271.0,6785381.0,6513911.0
Spirits,Liqueurs,Nut Liqueurs,2125105.0,1256284.0,1496543.0,1697065.0,2133314.0
Spirits,Liqueurs,Other Liqueurs,1485052.0,927469.0,1167344.0,1401547.0,1245029.0
Spirits,Liqueurs,Whiskey Liqueurs,2133466.0,1515319.0,1146481.0,1267211.0,1689152.0
Spirits,Other Spirits,Cachaca,32788.0,42205.0,50903.0,54329.0,33515.0
Spirits,Other Spirits,Flavoured Spirits,474591.0,84871.0,83673.0,155658.0,143184.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,211344.0,233685.0,185720.0,183529.0,309136.0
Spirits,Other Spirits,Moonshine Spirits,626064.0,413007.0,171260.0,404230.0,296481.0
Spirits,Other Spirits,Ready to Mix Cocktails,517400.0,473349.0,573108.0,601181.0,519518.0
Spirits,Other Spirits,Ready to Serve Cocktails,1370774.0,1129564.0,1391916.0,1713746.0,1362861.0
Spirits,Other Spirits,Schnapps and Akvavit,77952.0,45896.0,44707.0,43848.0,55686.0
Spirits,Rum,Amber Rum,7835310.0,4879050.0,4898619.0,5609819.0,7821087.0
Spirits,Rum,Dark Rum,3601239.0,2458945.0,2554185.0,2645466.0,3742652.0
Spirits,Rum,Flavoured Rum,489524.0,373076.0,315424.0,374553.0,394239.0
Spirits,Rum,Spiced Rum,10933386.0,6080225.0,5292421.0,5583671.0,8373362.0
Spirits,Rum,White Rum,7154280.0,5507126.0,6162394.0,6508124.0,7111530.0
Spirits,Tequila,Blanco/Silver Tequila,9104475.0,7966846.0,10603796.0,11927316.0,8861693.0
Spirits,Tequila,Flavoured Tequila,942166.0,622431.0,1257483.0,1212758.0,920685.0
Spirits,Tequila,Gold Tequila,10829780.0,8075055.0,11080863.0,11315329.0,9747977.0
Spirits,Tequila,Mezcal,971853.0,943342.0,1114986.0,1135345.0,884795.0
Spirits,Vodka,Flavoured Vodka,4224475.0,3689708.0,3731280.0,3756272.0,3823469.0
Spirits,Vodka,Straight Vodka,59978629.0,48944143.0,53792950.0,55865945.0,55651212.0
Spirits,Whisky,American Whiskey,3911094.0,2548345.0,293896.0,1246162.0,1502262.0
Spirits,Whisky,Blended Malt Scotch Whisky,336337.0,256288.0,253154.0,240879.0,341884.0
Spirits,Whisky,Blended Scotch Whisky,9410912.0,7139807.0,6980436.0,6696625.0,8719704.0
Spirits,Whisky,Bourbon Whiskey,8862492.0,5179484.0,419971.0,2361323.0,2516557.0
Spirits,Whisky,Canadian Whisky,33687735.0,26574853.0,31324101.0,29304011.0,35777621.0
Spirits,Whisky,Flavoured Whisky,984183.0,479616.0,399390.0,629610.0,479102.0
Spirits,Whisky,Irish Whiskey,7430855.0,5477868.0,5314696.0,5417389.0,7077908.0
Spirits,Whisky,Other Country Whisky,2967386.0,1313179.0,1377310.0,1199685.0,1960028.0
Spirits,Whisky,Single Malt Scotch Whisky,16274171.0,8581950.0,8920136.0,8134385.0,13519330.0
