cat_type,category,subcategory,period,netsales
Spirits,Asian Spirits,China Spirits,FY2025Q3,1657988.0
Spirits,Asian Spirits,Korea Spirits,FY2025Q3,1417005.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2025Q3,168408.0
Spirits,Gin,Dry Gin,FY2025Q3,13202535.0
Spirits,Gin,Flavoured Gin,FY2025Q3,1017242.0
Spirits,Gin,Other Gin,FY2025Q3,741361.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2025Q3,56954.0
Spirits,Grape and Fruit Brandy,Brandy,FY2025Q3,3224104.0
Spirits,Grape and Fruit Brandy,Cognac,FY2025Q3,2852656.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2025Q3,378369.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2025Q3,85520.0
Spirits,Grape and Fruit Brandy,Pisco,FY2025Q3,135319.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2025Q3,10393253.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2025Q3,3594367.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2025Q3,19166462.0
Spirits,Liqueurs,Fruit Liqueurs,FY2025Q3,7571281.0
Spirits,Liqueurs,Nut Liqueurs,FY2025Q3,2125105.0
Spirits,Liqueurs,Other Liqueurs,FY2025Q3,1485052.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2025Q3,2133466.0
Spirits,Other Spirits,Cachaca,FY2025Q3,32788.0
Spirits,Other Spirits,Flavoured Spirits,FY2025Q3,474591.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2025Q3,211344.0
Spirits,Asian Spirits,China Spirits,FY2025Q4,1455746.0
Spirits,Asian Spirits,Korea Spirits,FY2025Q4,1270656.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2025Q4,162967.0
Spirits,Gin,Dry Gin,FY2025Q4,10179664.0
Spirits,Gin,Flavoured Gin,FY2025Q4,779457.0
Spirits,Gin,Other Gin,FY2025Q4,562253.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2025Q4,48284.0
Spirits,Grape and Fruit Brandy,Brandy,FY2025Q4,2062821.0
Spirits,Grape and Fruit Brandy,Cognac,FY2025Q4,2557535.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2025Q4,240257.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2025Q4,63854.0
Spirits,Grape and Fruit Brandy,Pisco,FY2025Q4,145198.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2025Q4,8131436.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2025Q4,1980513.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2025Q4,5964526.0
Spirits,Liqueurs,Fruit Liqueurs,FY2025Q4,5713694.0
Spirits,Liqueurs,Nut Liqueurs,FY2025Q4,1256284.0
Spirits,Liqueurs,Other Liqueurs,FY2025Q4,927469.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2025Q4,1515319.0
Spirits,Other Spirits,Cachaca,FY2025Q4,42205.0
Spirits,Other Spirits,Flavoured Spirits,FY2025Q4,84871.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2025Q4,233685.0
Spirits,Asian Spirits,China Spirits,FY2026Q1,784261.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q1,1290297.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q1,111724.0
Spirits,Gin,Dry Gin,FY2026Q1,13000635.0
Spirits,Gin,Flavoured Gin,FY2026Q1,1278962.0
Spirits,Gin,Other Gin,FY2026Q1,805741.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q1,36832.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q1,1894827.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q1,1732944.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q1,308020.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q1,51570.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q1,131034.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q1,9626771.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2026Q1,1864064.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2026Q1,5916616.0
Spirits,Liqueurs,Fruit Liqueurs,FY2026Q1,6335271.0
Spirits,Liqueurs,Nut Liqueurs,FY2026Q1,1496543.0
Spirits,Liqueurs,Other Liqueurs,FY2026Q1,1167344.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2026Q1,1146481.0
Spirits,Other Spirits,Cachaca,FY2026Q1,50903.0
Spirits,Other Spirits,Flavoured Spirits,FY2026Q1,83673.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2026Q1,185720.0
Spirits,Asian Spirits,China Spirits,FY2026Q2,653141.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q2,1372974.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q2,132061.0
Spirits,Gin,Dry Gin,FY2026Q2,13839129.0
Spirits,Gin,Flavoured Gin,FY2026Q2,1195604.0
Spirits,Gin,Other Gin,FY2026Q2,765575.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q2,28701.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q2,1689896.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q2,1658873.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q2,261493.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q2,47384.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q2,137626.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q2,9245551.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2026Q2,2267320.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2026Q2,7770609.0
Spirits,Liqueurs,Fruit Liqueurs,FY2026Q2,6785381.0
Spirits,Liqueurs,Nut Liqueurs,FY2026Q2,1697065.0
Spirits,Liqueurs,Other Liqueurs,FY2026Q2,1401547.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2026Q2,1267211.0
Spirits,Other Spirits,Cachaca,FY2026Q2,54329.0
Spirits,Other Spirits,Flavoured Spirits,FY2026Q2,155658.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2026Q2,183529.0
Spirits,Asian Spirits,China Spirits,FY2026Q3,775096.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q3,1170268.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q3,144675.0
Spirits,Gin,Dry Gin,FY2026Q3,13213516.0
Spirits,Gin,Flavoured Gin,FY2026Q3,1077004.0
Spirits,Gin,Other Gin,FY2026Q3,919301.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q3,117021.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q3,2804936.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q3,2519816.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q3,369686.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q3,74851.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q3,113961.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q3,9698721.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2026Q3,2997284.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2026Q3,18070214.0
Spirits,Liqueurs,Fruit Liqueurs,FY2026Q3,6513911.0
Spirits,Liqueurs,Nut Liqueurs,FY2026Q3,2133314.0
Spirits,Liqueurs,Other Liqueurs,FY2026Q3,1245029.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2026Q3,1689152.0
Spirits,Other Spirits,Cachaca,FY2026Q3,33515.0
Spirits,Other Spirits,Flavoured Spirits,FY2026Q3,143184.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2026Q3,309136.0
Spirits,Other Spirits,Moonshine Spirits,FY2025Q3,626064.0
Spirits,Other Spirits,Ready to Mix Cocktails,FY2025Q3,517400.0
Spirits,Other Spirits,Ready to Serve Cocktails,FY2025Q3,1370774.0
Spirits,Other Spirits,Schnapps and Akvavit,FY2025Q3,77952.0
Spirits,Rum,Amber Rum,FY2025Q3,7835310.0
Spirits,Rum,Dark Rum,FY2025Q3,3601239.0
Spirits,Rum,Flavoured Rum,FY2025Q3,489524.0
Spirits,Rum,Spiced Rum,FY2025Q3,10933386.0
Spirits,Rum,White Rum,FY2025Q3,7154280.0
Spirits,Tequila,Blanco/Silver Tequila,FY2025Q3,9104475.0
Spirits,Tequila,Flavoured Tequila,FY2025Q3,942166.0
Spirits,Tequila,Gold Tequila,FY2025Q3,10829780.0
Spirits,Tequila,Mezcal,FY2025Q3,971853.0
Spirits,Vodka,Flavoured Vodka,FY2025Q3,4224475.0
Spirits,Vodka,Straight Vodka,FY2025Q3,59978629.0
Spirits,Whisky,American Whiskey,FY2025Q3,3911094.0
Spirits,Whisky,Blended Malt Scotch Whisky,FY2025Q3,336337.0
Spirits,Whisky,Blended Scotch Whisky,FY2025Q3,9410912.0
Spirits,Whisky,Bourbon Whiskey,FY2025Q3,8862492.0
Spirits,Whisky,Canadian Whisky,FY2025Q3,33687735.0
Spirits,Whisky,Flavoured Whisky,FY2025Q3,984183.0
Spirits,Whisky,Irish Whiskey,FY2025Q3,7430855.0
Spirits,Whisky,Other Country Whisky,FY2025Q3,2967386.0
Spirits,Whisky,Single Malt Scotch Whisky,FY2025Q3,16274171.0
Spirits,Other Spirits,Moonshine Spirits,FY2025Q4,413007.0
Spirits,Other Spirits,Ready to Mix Cocktails,FY2025Q4,473349.0
Spirits,Other Spirits,Ready to Serve Cocktails,FY2025Q4,1129564.0
Spirits,Other Spirits,Schnapps and Akvavit,FY2025Q4,45896.0
Spirits,Rum,Amber Rum,FY2025Q4,4879050.0
Spirits,Rum,Dark Rum,FY2025Q4,2458945.0
Spirits,Rum,Flavoured Rum,FY2025Q4,373076.0
Spirits,Rum,Spiced Rum,FY2025Q4,6080225.0
Spirits,Rum,White Rum,FY2025Q4,5507126.0
Spirits,Tequila,Blanco/Silver Tequila,FY2025Q4,7966846.0
Spirits,Tequila,Flavoured Tequila,FY2025Q4,622431.0
Spirits,Tequila,Gold Tequila,FY2025Q4,8075055.0
Spirits,Tequila,Mezcal,FY2025Q4,943342.0
Spirits,Vodka,Flavoured Vodka,FY2025Q4,3689708.0
Spirits,Vodka,Straight Vodka,FY2025Q4,48944143.0
Spirits,Whisky,American Whiskey,FY2025Q4,2548345.0
Spirits,Whisky,Blended Malt Scotch Whisky,FY2025Q4,256288.0
Spirits,Whisky,Blended Scotch Whisky,FY2025Q4,7139807.0
Spirits,Whisky,Bourbon Whiskey,FY2025Q4,5179484.0
Spirits,Whisky,Canadian Whisky,FY2025Q4,26574853.0
Spirits,Whisky,Flavoured Whisky,FY2025Q4,479616.0
Spirits,Whisky,Irish Whiskey,FY2025Q4,5477868.0
Spirits,Whisky,Other Country Whisky,FY2025Q4,1313179.0
Spirits,Whisky,Single Malt Scotch Whisky,FY2025Q4,8581950.0
Spirits,Other Spirits,Moonshine Spirits,FY2026Q1,171260.0
Spirits,Other Spirits,Ready to Mix Cocktails,FY2026Q1,573108.0
Spirits,Other Spirits,Ready to Serve Cocktails,FY2026Q1,1391916.0
Spirits,Other Spirits,Schnapps and Akvavit,FY2026Q1,44707.0
Spirits,Rum,Amber Rum,FY2026Q1,4898619.0
Spirits,Rum,Dark Rum,FY2026Q1,2554185.0
Spirits,Rum,Flavoured Rum,FY2026Q1,315424.0
Spirits,Rum,Spiced Rum,FY2026Q1,5292421.0
Spirits,Rum,White Rum,FY2026Q1,6162394.0
Spirits,Tequila,Blanco/Silver Tequila,FY2026Q1,10603796.0
Spirits,Tequila,Flavoured Tequila,FY2026Q1,1257483.0
Spirits,Tequila,Gold Tequila,FY2026Q1,11080863.0
Spirits,Tequila,Mezcal,FY2026Q1,1114986.0
Spirits,Vodka,Flavoured Vodka,FY2026Q1,3731280.0
Spirits,Vodka,Straight Vodka,FY2026Q1,53792950.0
Spirits,Whisky,American Whiskey,FY2026Q1,293896.0
Spirits,Whisky,Blended Malt Scotch Whisky,FY2026Q1,253154.0
Spirits,Whisky,Blended Scotch Whisky,FY2026Q1,6980436.0
Spirits,Whisky,Bourbon Whiskey,FY2026Q1,419971.0
Spirits,Whisky,Canadian Whisky,FY2026Q1,31324101.0
Spirits,Whisky,Flavoured Whisky,FY2026Q1,399390.0
Spirits,Whisky,Irish Whiskey,FY2026Q1,5314696.0
Spirits,Whisky,Other Country Whisky,FY2026Q1,1377310.0
Spirits,Whisky,Single Malt Scotch Whisky,FY2026Q1,8920136.0
Spirits,Other Spirits,Moonshine Spirits,FY2026Q2,404230.0
Spirits,Other Spirits,Ready to Mix Cocktails,FY2026Q2,601181.0
Spirits,Other Spirits,Ready to Serve Cocktails,FY2026Q2,1713746.0
Spirits,Other Spirits,Schnapps and Akvavit,FY2026Q2,43848.0
Spirits,Rum,Amber Rum,FY2026Q2,5609819.0
Spirits,Rum,Dark Rum,FY2026Q2,2645466.0
Spirits,Rum,Flavoured Rum,FY2026Q2,374553.0
Spirits,Rum,Spiced Rum,FY2026Q2,5583671.0
Spirits,Rum,White Rum,FY2026Q2,6508124.0
Spirits,Tequila,Blanco/Silver Tequila,FY2026Q2,11927316.0
Spirits,Tequila,Flavoured Tequila,FY2026Q2,1212758.0
Spirits,Tequila,Gold Tequila,FY2026Q2,11315329.0
Spirits,Tequila,Mezcal,FY2026Q2,1135345.0
Spirits,Vodka,Flavoured Vodka,FY2026Q2,3756272.0
Spirits,Vodka,Straight Vodka,FY2026Q2,55865945.0
Spirits,Whisky,American Whiskey,FY2026Q2,1246162.0
Spirits,Whisky,Blended Malt Scotch Whisky,FY2026Q2,240879.0
Spirits,Whisky,Blended Scotch Whisky,FY2026Q2,6696625.0
Spirits,Whisky,Bourbon Whiskey,FY2026Q2,2361323.0
Spirits,Whisky,Canadian Whisky,FY2026Q2,29304011.0
Spirits,Whisky,Flavoured Whisky,FY2026Q2,629610.0
Spirits,Whisky,Irish Whiskey,FY2026Q2,5417389.0
Spirits,Whisky,Other Country Whisky,FY2026Q2,1199685.0
Spirits,Whisky,Single Malt Scotch Whisky,FY2026Q2,8134385.0
Spirits,Other Spirits,Moonshine Spirits,FY2026Q3,296481.0
Spirits,Other Spirits,Ready to Mix Cocktails,FY2026Q3,519518.0
Spirits,Other Spirits,Ready to Serve Cocktails,FY2026Q3,1362861.0
Spirits,Other Spirits,Schnapps and Akvavit,FY2026Q3,55686.0
Spirits,Rum,Amber Rum,FY2026Q3,7821087.0
Spirits,Rum,Dark Rum,FY2026Q3,3742652.0
Spirits,Rum,Flavoured Rum,FY2026Q3,394239.0
Spirits,Rum,Spiced Rum,FY2026Q3,8373362.0
Spirits,Rum,White Rum,FY2026Q3,7111530.0
Spirits,Tequila,Blanco/Silver Tequila,FY2026Q3,8861693.0
Spirits,Tequila,Flavoured Tequila,FY2026Q3,920685.0
Spirits,Tequila,Gold Tequila,FY2026Q3,9747977.0
Spirits,Tequila,Mezcal,FY2026Q3,884795.0
Spirits,Vodka,Flavoured Vodka,FY2026Q3,3823469.0
Spirits,Vodka,Straight Vodka,FY2026Q3,55651212.0
Spirits,Whisky,American Whiskey,FY2026Q3,1502262.0
Spirits,Whisky,Blended Malt Scotch Whisky,FY2026Q3,341884.0
Spirits,Whisky,Blended Scotch Whisky,FY2026Q3,8719704.0
Spirits,Whisky,Bourbon Whiskey,FY2026Q3,2516557.0
Spirits,Whisky,Canadian Whisky,FY2026Q3,35777621.0
Spirits,Whisky,Flavoured Whisky,FY2026Q3,479102.0
Spirits,Whisky,Irish Whiskey,FY2026Q3,7077908.0
Spirits,Whisky,Other Country Whisky,FY2026Q3,1960028.0
Spirits,Whisky,Single Malt Scotch Whisky,FY2026Q3,13519330.0
