cat_type,category,subcategory,FY2025Q3,FY2025Q4,FY2026Q1,FY2026Q2,FY2026Q3
Wine,Argentina Wine,Argentina Red Wine,530741.0,439105.0,462123.0,398251.0,555190.0
Wine,Argentina Wine,Argentina Rose Wine,2696.0,2785.0,7822.0,6614.0,3028.0
Wine,Argentina Wine,Argentina Sparkling Wine,526.0,459.0,522.0,760.0,482.0
Wine,Argentina Wine,Argentina White Wine,29012.0,42988.0,53850.0,66285.0,81223.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,10.0,114.0,21.0,10.0,4.0
Wine,Australia Wine,Australia Red Wine,526530.0,496722.0,476629.0,410972.0,539002.0
Wine,Australia Wine,Australia Rose Wine,25699.0,15513.0,23674.0,23804.0,23786.0
Wine,Australia Wine,Australia Sparkling Wine,78608.0,38980.0,53501.0,44147.0,62918.0
Wine,Australia Wine,Australia White Wine,359449.0,285037.0,397359.0,395170.0,359873.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,112.0,81.0,34.0,56.0,54.0
Wine,Austria Wine,Austria Red Wine,1083.0,1084.0,878.0,1034.0,1088.0
Wine,Austria Wine,Austria Rose Wine,189.0,387.0,346.0,274.0,180.0
Wine,Austria Wine,Austria Sparkling Wine,135.0,9.0,86.0,224.0,108.0
Wine,Austria Wine,Austria White Wine,3410.0,3097.0,4022.0,3972.0,3292.0
Wine,Bulgaria Wine,Bulgaria Red Wine,0.0,0.0,0.0,0.0,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,0.0,0.0,0.0,0.0,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,4246.0,4190.0,3740.0,5437.0,3214.0
Wine,Canada - BC,Canada - BC Fruit Wine,65078.0,35416.0,48316.0,76576.0,73205.0
Wine,Canada - BC,Canada - BC Ice Wine,8393.0,7004.0,6944.0,7682.0,7432.0
Wine,Canada - BC,Canada - BC Red Wine,4193744.0,3261680.0,3482690.0,3624743.0,4846262.0
Wine,Canada - BC,Canada - BC Rose Wine,410274.0,355395.0,633212.0,707719.0,476137.0
Wine,Canada - BC,Canada - BC Sparkling Wine,185179.0,113094.0,181094.0,250279.0,251922.0
Wine,Canada - BC,Canada - BC White Wine,4156847.0,3424616.0,4336934.0,4426212.0,4659364.0
Wine,Canada - Other,Canada - Other Dessert Wine,102.0,41.0,34.0,84.0,99.0
Wine,Canada - Other,Canada - Other Fruit Wine,152.0,92.0,147.0,288.0,187.0
Wine,Canada - Other,Canada - Other Ice Wine,9019.0,10030.0,5801.0,15352.0,9776.0
Wine,Canada - Other,Canada - Other Red Wine,32789.0,26613.0,28870.0,37210.0,41014.0
Wine,Canada - Other,Canada - Other Rose Wine,5552.0,4482.0,10668.0,8048.0,4857.0
Wine,Canada - Other,Canada - Other Sparkling Wine,93136.0,47171.0,65560.0,66778.0,82617.0
Wine,Canada - Other,Canada - Other White Wine,49591.0,41027.0,54724.0,61698.0,52564.0
Wine,Chile Wine,Chile Fruit and Dessert Wine,18.0,14.0,14.0,13.0,32.0
Wine,Chile Wine,Chile Red Wine,720082.0,611208.0,610363.0,627173.0,696104.0
Wine,Chile Wine,Chile Rose Wine,26151.0,26576.0,56358.0,73165.0,18955.0
Wine,Chile Wine,Chile Sparkling Wine,3299.0,2190.0,2175.0,1450.0,2396.0
Wine,Chile Wine,Chile White Wine,315295.0,306921.0,356461.0,366906.0,338508.0
Wine,China Wine,China Fruit and Dessert Wine,291.0,362.0,114.0,44.0,293.0
Wine,China Wine,China Red Wine,22.0,122.0,4.0,14.0,14.0
Wine,China Wine,China White Wine,9.0,0.0,225.0,0.0,18.0
Wine,Fortified Wine,Other Fortified Domestic Wine,53022.0,44973.0,41483.0,48316.0,46840.0
Wine,Fortified Wine,Other Fortified Import Wine,19180.0,14578.0,13742.0,11921.0,17484.0
Wine,Fortified Wine,Port Wine,32098.0,14973.0,14468.0,14350.0,29500.0
Wine,Fortified Wine,Sherry Wine,21825.0,11470.0,10146.0,9374.0,14957.0
Wine,Fortified Wine,Vermouth Wine,68827.0,51524.0,55291.0,55298.0,61483.0
Wine,France Wine,France Champagne Wine,77213.0,29818.0,39119.0,46515.0,73054.0
Wine,France Wine,France Fruit and Dessert Wine,186.0,298.0,190.0,237.0,216.0
Wine,France Wine,France Red Wine,380291.0,299734.0,321136.0,312951.0,387302.0
Wine,France Wine,France Rose Wine,114332.0,106465.0,229633.0,284794.0,107641.0
Wine,France Wine,France Sparkling Wine,61548.0,37473.0,48043.0,49901.0,52039.0
Wine,France Wine,France White Wine,193975.0,173364.0,207349.0,220115.0,214383.0
Wine,Georgia Wine,Georgia Red Wine,5098.0,3765.0,3584.0,2821.0,3334.0
Wine,Georgia Wine,Georgia Rose Wine,76.0,9.0,14.0,9.0,4.0
Wine,Georgia Wine,Georgia Sparkling Wine,32.0,9.0,27.0,21.0,14.0
Wine,Georgia Wine,Georgia White Wine,513.0,608.0,655.0,548.0,539.0
Wine,Germany Wine,Germany Fruit and Dessert Wine,0.0,0.0,0.0,0.0,0.0
Wine,Germany Wine,Germany Red Wine,1210.0,1288.0,1285.0,1354.0,1040.0
Wine,Germany Wine,Germany Rose Wine,0.0,9.0,68.0,94.0,9.0
Wine,Germany Wine,Germany Sparkling Wine,60063.0,21543.0,34091.0,28577.0,53664.0
Wine,Germany Wine,Germany White Wine,68186.0,45594.0,48673.0,47596.0,52786.0
Wine,Greece Wine,Greece Fruit and Dessert Wine,0.0,18.0,0.0,0.0,18.0
Wine,Greece Wine,Greece Red Wine,6007.0,5763.0,6226.0,4974.0,4976.0
Wine,Greece Wine,Greece Rose Wine,532.0,303.0,602.0,796.0,370.0
Wine,Greece Wine,Greece Sparkling Wine,171.0,148.0,225.0,68.0,194.0
Wine,Greece Wine,Greece White Wine,4802.0,6379.0,7914.0,8792.0,4744.0
Wine,Hungary Wine,Hungary Fruit and Dessert Wine,390.0,658.0,157.0,378.0,474.0
Wine,Hungary Wine,Hungary Red Wine,1215.0,1300.0,1134.0,801.0,1112.0
Wine,Hungary Wine,Hungary Rose Wine,4.0,0.0,0.0,4.0,0.0
Wine,Hungary Wine,Hungary Sparkling Wine,5718.0,3168.0,4352.0,5985.0,4594.0
Wine,Hungary Wine,Hungary White Wine,5919.0,5068.0,5332.0,7810.0,6250.0
Wine,Israel Wine,Israel Red Wine,1097.0,1080.0,1278.0,853.0,1035.0
Wine,Israel Wine,Israel Rose Wine,54.0,225.0,180.0,81.0,54.0
Wine,Israel Wine,Israel White Wine,198.0,270.0,482.0,297.0,198.0
Wine,Italy Wine,Italy Fruit and Dessert Wine,151.0,54.0,122.0,106.0,143.0
Wine,Italy Wine,Italy Red Wine,672338.0,497708.0,539982.0,522563.0,646589.0
Wine,Italy Wine,Italy Rose Wine,9111.0,9476.0,20491.0,23978.0,10883.0
Wine,Italy Wine,Italy Sparkling Wine,129143.0,90127.0,113389.0,123496.0,104024.0
Wine,Italy Wine,Italy White Wine,391104.0,309438.0,425687.0,403459.0,333688.0
Wine,Italy Wine,Prosecco Wine,516120.0,233086.0,383285.0,364939.0,484489.0
Wine,New Zealand Wine,New Zealand Fruit and Dessert Wine,9.0,0.0,0.0,0.0,0.0
Wine,New Zealand Wine,New Zealand Red Wine,33628.0,16906.0,27203.0,26138.0,36961.0
Wine,New Zealand Wine,New Zealand Rose Wine,9846.0,7844.0,26762.0,24318.0,10537.0
Wine,New Zealand Wine,New Zealand Sparkling Wine,7214.0,3091.0,2835.0,4724.0,7378.0
Wine,New Zealand Wine,New Zealand White Wine,819687.0,484533.0,835325.0,771430.0,765229.0
Wine,Other Country Wine,Other Country Fruit and Dessert Wine,21736.0,21611.0,17577.0,16486.0,14509.0
Wine,Other Country Wine,Other Country Red Wine,4089.0,3460.0,4010.0,2964.0,3524.0
Wine,Other Country Wine,Other Country Rose Wine,304.0,405.0,457.0,924.0,380.0
Wine,Other Country Wine,Other Country Sparkling Wine,937.0,853.0,1393.0,979.0,1047.0
Wine,Other Country Wine,Other Country White Wine,2166.0,1598.0,2072.0,1969.0,1514.0
Wine,Other Style Wine,Aperitif And Flavoured Wine,5340.0,4036.0,2632.0,3155.0,4289.0
Wine,Other Style Wine,Mead,6171.0,5850.0,6041.0,10948.0,8350.0
Wine,Other Style Wine,Rice Wine,6446.0,6343.0,5390.0,4831.0,4519.0
Wine,Portugal Wine,Portugal Fruit and Dessert Wine,44.0,63.0,76.0,38.0,140.0
