cat_type,category,subcategory,FY2025Q3,FY2025Q4,FY2026Q1,FY2026Q2,FY2026Q3
Wine,Argentina Wine,Argentina Red Wine,8293735.0,6674851.0,7129654.0,6252204.0,8669926.0
Wine,Argentina Wine,Argentina Rose Wine,39821.0,38926.0,111321.0,98803.0,47368.0
Wine,Argentina Wine,Argentina Sparkling Wine,10256.0,8773.0,10450.0,14013.0,9768.0
Wine,Argentina Wine,Argentina White Wine,412097.0,576922.0,746465.0,980794.0,1176097.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,429.0,5871.0,1010.0,390.0,313.0
Wine,Australia Wine,Australia Red Wine,7400320.0,6996647.0,6961885.0,6024120.0,8119283.0
Wine,Australia Wine,Australia Rose Wine,305850.0,219415.0,311084.0,295024.0,286938.0
Wine,Australia Wine,Australia Sparkling Wine,1147352.0,598083.0,805384.0,683528.0,923722.0
Wine,Australia Wine,Australia White Wine,4238263.0,3473585.0,4734229.0,4691970.0,4320228.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,6297.0,4176.0,2438.0,2887.0,2994.0
Wine,Austria Wine,Austria Red Wine,36550.0,34396.0,30714.0,33910.0,36523.0
Wine,Austria Wine,Austria Rose Wine,6765.0,13457.0,12263.0,10115.0,6461.0
Wine,Austria Wine,Austria Sparkling Wine,5975.0,287.0,2920.0,7701.0,3407.0
Wine,Austria Wine,Austria White Wine,108595.0,107802.0,132301.0,129457.0,102762.0
Wine,Bulgaria Wine,Bulgaria Red Wine,0.0,0.0,0.0,0.0,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,0.0,0.0,0.0,0.0,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,210497.0,197815.0,204845.0,320342.0,200490.0
Wine,Canada - BC,Canada - BC Fruit Wine,1301850.0,719025.0,959401.0,1569480.0,1483581.0
Wine,Canada - BC,Canada - BC Ice Wine,890603.0,797612.0,873009.0,1042106.0,760941.0
Wine,Canada - BC,Canada - BC Red Wine,65892974.0,49702622.0,55411531.0,65269533.0,80877073.0
Wine,Canada - BC,Canada - BC Rose Wine,6833759.0,5883668.0,11187838.0,12780778.0,7491434.0
Wine,Canada - BC,Canada - BC Sparkling Wine,6758477.0,3900819.0,6878867.0,8374401.0,9380132.0
Wine,Canada - BC,Canada - BC White Wine,51734799.0,42307893.0,56032073.0,61394460.0,59541713.0
Wine,Canada - Other,Canada - Other Dessert Wine,11992.0,4162.0,4036.0,9262.0,11580.0
Wine,Canada - Other,Canada - Other Fruit Wine,1807.0,1093.0,1634.0,3536.0,2366.0
Wine,Canada - Other,Canada - Other Ice Wine,791542.0,901687.0,508044.0,1442645.0,901729.0
Wine,Canada - Other,Canada - Other Red Wine,351238.0,311134.0,306456.0,461493.0,460017.0
Wine,Canada - Other,Canada - Other Rose Wine,54404.0,42591.0,104643.0,83475.0,48531.0
Wine,Canada - Other,Canada - Other Sparkling Wine,826732.0,436740.0,683107.0,712458.0,874378.0
Wine,Canada - Other,Canada - Other White Wine,479944.0,401842.0,524468.0,619642.0,512068.0
Wine,Chile Wine,Chile Fruit and Dessert Wine,640.0,480.0,481.0,491.0,1180.0
Wine,Chile Wine,Chile Red Wine,7888562.0,6825361.0,6811691.0,7019516.0,8149461.0
Wine,Chile Wine,Chile Rose Wine,263047.0,277056.0,586642.0,791694.0,207713.0
Wine,Chile Wine,Chile Sparkling Wine,58295.0,44312.0,44068.0,28234.0,49461.0
Wine,Chile Wine,Chile White Wine,3282790.0,3183204.0,3784795.0,3840767.0,3457933.0
Wine,China Wine,China Fruit and Dessert Wine,10928.0,15095.0,3945.0,1704.0,11209.0
Wine,China Wine,China Red Wine,793.0,3829.0,125.0,376.0,376.0
Wine,China Wine,China White Wine,251.0,0.0,13317.0,0.0,501.0
Wine,Fortified Wine,Other Fortified Domestic Wine,808514.0,627272.0,631109.0,881747.0,789111.0
Wine,Fortified Wine,Other Fortified Import Wine,444144.0,344998.0,352124.0,298935.0,440458.0
Wine,Fortified Wine,Port Wine,1125303.0,505466.0,479140.0,497523.0,1026132.0
Wine,Fortified Wine,Sherry Wine,471357.0,265364.0,230111.0,209093.0,340454.0
Wine,Fortified Wine,Vermouth Wine,1028428.0,797168.0,887966.0,883546.0,1052677.0
Wine,France Wine,France Champagne Wine,7626297.0,2990248.0,3854924.0,4662635.0,7441699.0
Wine,France Wine,France Fruit and Dessert Wine,17601.0,26062.0,14904.0,18218.0,25057.0
Wine,France Wine,France Red Wine,9243467.0,7269303.0,7375557.0,10841950.0,9220436.0
Wine,France Wine,France Rose Wine,2066788.0,1842927.0,4161833.0,5031569.0,1934306.0
Wine,France Wine,France Sparkling Wine,1177008.0,746617.0,958205.0,967186.0,1102132.0
Wine,France Wine,France White Wine,5342684.0,4596256.0,5889322.0,6065745.0,5869003.0
Wine,Georgia Wine,Georgia Red Wine,112556.0,86462.0,82533.0,64082.0,74049.0
Wine,Georgia Wine,Georgia Rose Wine,3346.0,389.0,520.0,345.0,173.0
Wine,Georgia Wine,Georgia Sparkling Wine,1503.0,429.0,1332.0,1018.0,667.0
Wine,Georgia Wine,Georgia White Wine,16017.0,17950.0,21465.0,16927.0,16440.0
Wine,Germany Wine,Germany Fruit and Dessert Wine,0.0,0.0,0.0,0.0,0.0
Wine,Germany Wine,Germany Red Wine,37563.0,40225.0,35941.0,62716.0,30334.0
Wine,Germany Wine,Germany Rose Wine,0.0,324.0,2258.0,3118.0,158.0
Wine,Germany Wine,Germany Sparkling Wine,1132392.0,437480.0,623129.0,543725.0,894834.0
Wine,Germany Wine,Germany White Wine,1133017.0,792004.0,860868.0,859880.0,917809.0
Wine,Greece Wine,Greece Fruit and Dessert Wine,0.0,2194.0,0.0,0.0,409.0
Wine,Greece Wine,Greece Red Wine,133077.0,136359.0,136640.0,109557.0,107490.0
Wine,Greece Wine,Greece Rose Wine,12714.0,7701.0,15927.0,17198.0,8565.0
Wine,Greece Wine,Greece Sparkling Wine,6997.0,4938.0,9340.0,1387.0,5031.0
Wine,Greece Wine,Greece White Wine,99102.0,155553.0,168928.0,177220.0,94513.0
Wine,Hungary Wine,Hungary Fruit and Dessert Wine,20985.0,41750.0,13525.0,21582.0,27743.0
Wine,Hungary Wine,Hungary Red Wine,19191.0,20569.0,18266.0,16158.0,25938.0
Wine,Hungary Wine,Hungary Rose Wine,78.0,0.0,0.0,110.0,0.0
Wine,Hungary Wine,Hungary Sparkling Wine,100965.0,53834.0,66504.0,91588.0,70856.0
Wine,Hungary Wine,Hungary White Wine,80828.0,72381.0,71377.0,106986.0,91026.0
Wine,Israel Wine,Israel Red Wine,31926.0,31051.0,37197.0,24704.0,30173.0
