cat_type,category,subcategory
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer
Beer,Domestic - BC Beer,Domestic - BC Regional Beer
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer
Beer,Import Beer,Asia And South Pacific Beer
Beer,Import Beer,Europe Beer
Beer,Import Beer,Mexico And Caribbean Beer
Beer,Import Beer,Other Country Beer
Beer,Import Beer,USA Beer
Refreshment Beverages,Cider,Domestic Cider
Refreshment Beverages,Cider,Import Cider
Refreshment Beverages,Coolers,Malt-Based Coolers
Refreshment Beverages,Coolers,Spirit Coolers
Refreshment Beverages,Coolers,Wine/Fruit Coolers
Spirits,Asian Spirits,China Spirits
Spirits,Asian Spirits,Korea Spirits
Spirits,Asian Spirits,Other Country Asian Spirits
Spirits,Gin,Dry Gin
Spirits,Gin,Flavoured Gin
Spirits,Gin,Other Gin
Spirits,Grape and Fruit Brandy,Armagnac
Spirits,Grape and Fruit Brandy,Brandy
Spirits,Grape and Fruit Brandy,Cognac
Spirits,Grape and Fruit Brandy,Eau de Vie
Spirits,Grape and Fruit Brandy,Grappa And Marc
Spirits,Grape and Fruit Brandy,Pisco
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs
Spirits,Liqueurs,Coffee And Cocoa Liqueurs
Spirits,Liqueurs,Cream/Dairy Liqueurs
Spirits,Liqueurs,Fruit Liqueurs
Spirits,Liqueurs,Nut Liqueurs
Spirits,Liqueurs,Other Liqueurs
Spirits,Liqueurs,Whiskey Liqueurs
Spirits,Other Spirits,Cachaca
Spirits,Other Spirits,Flavoured Spirits
Spirits,Other Spirits,Miscellaneous/Other Spirits
Spirits,Other Spirits,Moonshine Spirits
Spirits,Other Spirits,Ready to Mix Cocktails
Spirits,Other Spirits,Ready to Serve Cocktails
Spirits,Other Spirits,Schnapps and Akvavit
Spirits,Rum,Amber Rum
Spirits,Rum,Dark Rum
Spirits,Rum,Flavoured Rum
Spirits,Rum,Spiced Rum
Spirits,Rum,White Rum
Spirits,Tequila,Blanco/Silver Tequila
Spirits,Tequila,Flavoured Tequila
Spirits,Tequila,Gold Tequila
Spirits,Tequila,Mezcal
Spirits,Vodka,Flavoured Vodka
Spirits,Vodka,Straight Vodka
Spirits,Whisky,American Whiskey
Spirits,Whisky,Blended Malt Scotch Whisky
Spirits,Whisky,Blended Scotch Whisky
Spirits,Whisky,Bourbon Whiskey
Spirits,Whisky,Canadian Whisky
Spirits,Whisky,Flavoured Whisky
Spirits,Whisky,Irish Whiskey
Spirits,Whisky,Other Country Whisky
Spirits,Whisky,Single Malt Scotch Whisky
Wine,Argentina Wine,Argentina Red Wine
Wine,Argentina Wine,Argentina Rose Wine
Wine,Argentina Wine,Argentina Sparkling Wine
Wine,Argentina Wine,Argentina White Wine
Wine,Australia Wine,Australia Fruit and Dessert Wine
Wine,Australia Wine,Australia Red Wine
Wine,Australia Wine,Australia Rose Wine
Wine,Australia Wine,Australia Sparkling Wine
Wine,Australia Wine,Australia White Wine
Wine,Austria Wine,Austria Fruit and Dessert Wine
Wine,Austria Wine,Austria Red Wine
Wine,Austria Wine,Austria Rose Wine
Wine,Austria Wine,Austria Sparkling Wine
Wine,Austria Wine,Austria White Wine
Wine,Bulgaria Wine,Bulgaria Red Wine
Wine,Bulgaria Wine,Bulgaria Rose Wine
Wine,Bulgaria Wine,Bulgaria White Wine
Wine,Canada - BC,Canada - BC Dessert Wine
