cat_type,category,subcategory,fy_qtr,litres,netsales
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q1,27843551.0,110210172.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q2,28816834.0,111443885.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q3,24895851.0,99034550.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q4,22255257.0,88068758.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2027Q1,26530875.0,101943304.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q1,7251923.0,37155861.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q2,7717956.0,39516581.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q3,6026672.0,31583179.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q4,5564728.0,28358165.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2027Q1,6811433.0,35004782.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q1,14625367.0,56437658.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q2,14214267.0,55445740.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q3,12128712.0,47768224.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q4,11496687.0,44174391.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2027Q1,13763095.0,52736336.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q1,10580059.0,49161038.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q2,10674027.0,49691902.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q3,7912674.0,37697251.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q4,7261225.0,33954238.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2027Q1,11878081.0,54400439.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q1,29335.0,188195.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q2,37204.0,230373.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q3,22541.0,152955.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q4,26964.0,172680.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2027Q1,56829.0,337917.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q1,173713.0,659018.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q2,146609.0,523179.0
