cat_type,category,subcategory,fy_qtr,litres,netsales
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q4,23428966.0,93023743.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q1,27843460.0,110209721.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q2,28816320.0,111443772.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q3,24896153.0,99035775.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q4,22259982.0,88076171.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q4,5739271.0,29015061.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q1,7239207.0,37102518.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q2,7718249.0,39518719.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q3,6025974.0,31580852.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q4,5522208.0,28194415.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q4,11376172.0,43752922.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q1,14631301.0,56456523.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q2,14215206.0,55448767.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q3,12129565.0,47771164.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q4,11492912.0,44158220.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q4,7006172.0,33547557.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q1,10580115.0,49161272.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q2,10673891.0,49691424.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q3,7912878.0,37698220.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q4,7266459.0,33977419.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q4,19533.0,133708.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q1,29335.0,188195.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q2,37204.0,230373.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q3,22541.0,152955.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q4,26911.0,172259.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q4,132986.0,506290.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q1,173713.0,659018.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q2,146609.0,523179.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q3,146596.0,517503.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q4,135436.0,466693.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q4,280156.0,1660918.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q1,324718.0,1922912.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q2,347327.0,2061190.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q3,267478.0,1634464.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q4,329579.0,1979331.0
Beer,Import Beer,Europe Beer,FY2025Q4,2984514.0,16589986.0
Beer,Import Beer,Europe Beer,FY2026Q1,3125714.0,17175540.0
Beer,Import Beer,Europe Beer,FY2026Q2,3243853.0,17801772.0
Beer,Import Beer,Europe Beer,FY2026Q3,2934341.0,16550048.0
Beer,Import Beer,Europe Beer,FY2026Q4,3028986.0,16946492.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q4,310821.0,1968593.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q1,438323.0,2762857.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q2,426183.0,2709327.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q3,316286.0,2029570.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q4,330607.0,2104677.0
Beer,Import Beer,Other Country Beer,FY2025Q4,97992.0,617009.0
Beer,Import Beer,Other Country Beer,FY2026Q1,108243.0,680222.0
Beer,Import Beer,Other Country Beer,FY2026Q2,110677.0,695669.0
Beer,Import Beer,Other Country Beer,FY2026Q3,80947.0,506409.0
Beer,Import Beer,Other Country Beer,FY2026Q4,92421.0,575147.0
Beer,Import Beer,USA Beer,FY2025Q4,25497.0,179983.0
Beer,Import Beer,USA Beer,FY2026Q1,10472.0,75664.0
Beer,Import Beer,USA Beer,FY2026Q2,7300.0,49217.0
Beer,Import Beer,USA Beer,FY2026Q3,2855.0,19980.0
Beer,Import Beer,USA Beer,FY2026Q4,3061.0,18281.0
Refreshment Beverages,Cider,Domestic Cider,FY2025Q4,1661776.0,9430255.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q1,2452289.0,14078066.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q2,2753215.0,16461395.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q3,2150420.0,12895374.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q4,1668534.0,9641552.0
Refreshment Beverages,Cider,Import Cider,FY2025Q4,494531.0,2622116.0
Refreshment Beverages,Cider,Import Cider,FY2026Q1,678001.0,3472465.0
Refreshment Beverages,Cider,Import Cider,FY2026Q2,687664.0,3562722.0
Refreshment Beverages,Cider,Import Cider,FY2026Q3,475563.0,2448075.0
Refreshment Beverages,Cider,Import Cider,FY2026Q4,471521.0,2564997.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2025Q4,40724.0,222017.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q1,32901.0,203357.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q2,24898.0,156270.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q3,13360.0,85612.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q4,16627.0,110686.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2025Q4,13291059.0,72880072.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q1,20411188.0,108749213.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q2,22314010.0,120732930.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q3,12744539.0,70019461.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q4,13649992.0,76016862.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2025Q4,113296.0,943765.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q1,132800.0,1114126.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q2,131949.0,1140986.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q3,91105.0,695486.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q4,81142.0,690825.0
Spirits,Asian Spirits,China Spirits,FY2025Q4,15843.0,1455746.0
Spirits,Asian Spirits,China Spirits,FY2026Q1,12208.0,784261.0
Spirits,Asian Spirits,China Spirits,FY2026Q2,11846.0,653141.0
Spirits,Asian Spirits,China Spirits,FY2026Q3,13200.0,775096.0
Spirits,Asian Spirits,China Spirits,FY2026Q4,15715.0,880468.0
Spirits,Asian Spirits,Korea Spirits,FY2025Q4,58567.0,1107973.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q1,60463.0,1142377.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q2,64867.0,1210496.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q3,54944.0,1037735.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q4,55577.0,1061689.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2025Q4,3828.0,162967.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q1,2602.0,111724.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q2,2903.0,132061.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q3,3050.0,144675.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q4,3294.0,148780.0
Spirits,Gin,Dry Gin,FY2025Q4,309753.0,10179664.0
Spirits,Gin,Dry Gin,FY2026Q1,403281.0,13008408.0
Spirits,Gin,Dry Gin,FY2026Q2,427014.0,13853407.0
Spirits,Gin,Dry Gin,FY2026Q3,397611.0,13337774.0
Spirits,Gin,Dry Gin,FY2026Q4,287726.0,9434592.0
Spirits,Gin,Flavoured Gin,FY2025Q4,20965.0,780242.0
Spirits,Gin,Flavoured Gin,FY2026Q1,34833.0,1282203.0
