cat_type,category,subcategory,litres,netsales,fy_qtr
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,33130408,116201396,FY2020Q3
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,30550013,106814179,FY2020Q4
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,39287022,136255648,FY2021Q1
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,38930641,136113050,FY2021Q2
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,29764750,104828373,FY2021Q3
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6646124,31269752,FY2020Q3
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6454893,30717644,FY2020Q4
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6920398,36404117,FY2021Q1
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,8422536,41957089,FY2021Q2
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6591706,33890159,FY2021Q3
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,11678288,42297742,FY2020Q3
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,10939478,39565581,FY2020Q4
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,12449257,46101431,FY2021Q1
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,13376825,49349886,FY2021Q2
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,11056950,40890858,FY2021Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,4737004,17324389,FY2020Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,4636631,16974456,FY2020Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,7434208,27027582,FY2021Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,7185562,26521224,FY2021Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,6477133,25535401,FY2021Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,21558,132437,FY2020Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,20421,133827,FY2020Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,14995,98562,FY2021Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,23541,155193,FY2021Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,19792,138039,FY2021Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,345003,1351037,FY2020Q3
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,282988,1124009,FY2020Q4
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,216742,933641,FY2021Q1
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,299369,1204364,FY2021Q2
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,219850,851843,FY2021Q3
Beer,Import Beer,Asia And South Pacific Beer,315818,1594334,FY2020Q3
Beer,Import Beer,Asia And South Pacific Beer,288995,1452735,FY2020Q4
Beer,Import Beer,Asia And South Pacific Beer,214868,1060200,FY2021Q1
Beer,Import Beer,Asia And South Pacific Beer,265847,1355234,FY2021Q2
Beer,Import Beer,Asia And South Pacific Beer,227092,1141080,FY2021Q3
Beer,Import Beer,Europe Beer,5937360,26669843,FY2020Q3
Beer,Import Beer,Europe Beer,5085380,22627505,FY2020Q4
Beer,Import Beer,Europe Beer,5727369,25283291,FY2021Q1
Beer,Import Beer,Europe Beer,6129746,27521617,FY2021Q2
Beer,Import Beer,Europe Beer,4427032,19165533,FY2021Q3
Beer,Import Beer,Mexico And Caribbean Beer,1820336,9559267,FY2020Q3
Beer,Import Beer,Mexico And Caribbean Beer,1736574,9178503,FY2020Q4
Beer,Import Beer,Mexico And Caribbean Beer,3004661,15496050,FY2021Q1
Beer,Import Beer,Mexico And Caribbean Beer,3657518,18748064,FY2021Q2
Beer,Import Beer,Mexico And Caribbean Beer,1174173,6183229,FY2021Q3
Beer,Import Beer,Other Country Beer,19513,80217,FY2020Q3
Beer,Import Beer,Other Country Beer,16286,72405,FY2020Q4
Beer,Import Beer,Other Country Beer,11450,54429,FY2021Q1
Beer,Import Beer,Other Country Beer,13026,61143,FY2021Q2
Beer,Import Beer,Other Country Beer,19838,80740,FY2021Q3
Beer,Import Beer,USA Beer,1203504,5069858,FY2020Q3
Beer,Import Beer,USA Beer,515160,2346370,FY2020Q4
Beer,Import Beer,USA Beer,512563,2364120,FY2021Q1
Beer,Import Beer,USA Beer,410192,2035606,FY2021Q2
Beer,Import Beer,USA Beer,328579,1561471,FY2021Q3
Refreshment Beverages,Cider,Domestic Cider,3044491,13235570,FY2020Q3
Refreshment Beverages,Cider,Domestic Cider,3073857,12916795,FY2020Q4
Refreshment Beverages,Cider,Domestic Cider,4511187,19119561,FY2021Q1
Refreshment Beverages,Cider,Domestic Cider,4969453,22260596,FY2021Q2
Refreshment Beverages,Cider,Domestic Cider,3117747,14080413,FY2021Q3
Refreshment Beverages,Cider,Import Cider,738590,3311288,FY2020Q3
Refreshment Beverages,Cider,Import Cider,723849,3107379,FY2020Q4
Refreshment Beverages,Cider,Import Cider,872614,3673577,FY2021Q1
Refreshment Beverages,Cider,Import Cider,760452,3226034,FY2021Q2
Refreshment Beverages,Cider,Import Cider,483225,2175650,FY2021Q3
Refreshment Beverages,Coolers,Malt-Based Coolers,33618,170031,FY2020Q3
Refreshment Beverages,Coolers,Malt-Based Coolers,38312,191575,FY2020Q4
Refreshment Beverages,Coolers,Malt-Based Coolers,94755,462601,FY2021Q1
Refreshment Beverages,Coolers,Malt-Based Coolers,108755,536419,FY2021Q2
Refreshment Beverages,Coolers,Malt-Based Coolers,41885,217733,FY2021Q3
Refreshment Beverages,Coolers,Spirit Coolers,8637393,38815379,FY2020Q3
Refreshment Beverages,Coolers,Spirit Coolers,9813857,44452441,FY2020Q4
Refreshment Beverages,Coolers,Spirit Coolers,20515535,92477389,FY2021Q1
Refreshment Beverages,Coolers,Spirit Coolers,22884011,104134626,FY2021Q2
Refreshment Beverages,Coolers,Spirit Coolers,11425145,53169720,FY2021Q3
Refreshment Beverages,Coolers,Wine/Fruit Coolers,108038,658202,FY2020Q3
