cat_type,category,subcategory,fy_qtr,litres,netsales
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2024Q3,27106434,105270259
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2024Q4,25175985,99773566
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q1,30186436,117589953
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q2,30475541,118279306
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q3,25661818,101471657
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2024Q3,6494982,33114432
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2024Q4,6048808,30325678
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q1,7444153,37556898
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q2,7913113,40102273
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q3,5906918,30447795
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2024Q3,12042469,46439604
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2024Q4,11106475,42718258
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q1,14219090,54644482
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q2,14186640,55032970
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q3,12437791,48466443
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2024Q3,7474447,34905095
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2024Q4,7020072,33210351
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q1,10428940,48808745
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q2,10503684,49460828
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q3,7538998,36141704
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2024Q3,26806,206981
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2024Q4,12907,83605
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q1,16622,102222
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q2,32014,202178
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q3,26279,197987
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2024Q3,158610,606289
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2024Q4,113011,424913
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q1,144529,555957
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q2,131145,516105
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q3,119777,464337
Beer,Import Beer,Asia And South Pacific Beer,FY2024Q3,272880,1558647
Beer,Import Beer,Asia And South Pacific Beer,FY2024Q4,276393,1558737
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q1,301859,1770352
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q2,330973,1924996
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q3,300777,1762734
Beer,Import Beer,Europe Beer,FY2024Q3,3529702,18568604
Beer,Import Beer,Europe Beer,FY2024Q4,3016400,16455461
Beer,Import Beer,Europe Beer,FY2025Q1,3346066,17999270
Beer,Import Beer,Europe Beer,FY2025Q2,3390398,18358912
Beer,Import Beer,Europe Beer,FY2025Q3,3221085,17530708
Beer,Import Beer,Mexico And Caribbean Beer,FY2024Q3,325049,1953174
Beer,Import Beer,Mexico And Caribbean Beer,FY2024Q4,342183,2087743
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q1,493201,2945867
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q2,541430,3310361
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q3,357343,2231433
Beer,Import Beer,Other Country Beer,FY2024Q3,98997,612907
