cat_type,category,subcategory,fy_qtr,litres,netsales
beer,Domestic,BC Beer Domestic - BC Commercial Beer,fiscal_2024_25_q1,30186179.0,117588906.0
beer,Domestic,BC Beer Domestic - BC Commercial Beer,fiscal_2024_25_q2,30474912.0,118276668.0
beer,Domestic,BC Beer Domestic - BC Commercial Beer,fiscal_2024_25_q3,25656254.0,101448870.0
beer,Domestic,BC Beer Domestic - BC Commercial Beer,fiscal_2024_25_q4,23403325.0,92915852.0
beer,Domestic,BC Beer Domestic - BC Commercial Beer,fiscal_2025_26_q1,27825017.0,110121222.0
beer,Domestic,BC Micro Brew Beer,fiscal_2024_25_q1,7452401.0,37591698.0
beer,Domestic,BC Micro Brew Beer,fiscal_2024_25_q2,7969643.0,40371790.0
beer,Domestic,BC Micro Brew Beer,fiscal_2024_25_q3,6059604.0,31139973.0
beer,Domestic,BC Micro Brew Beer,fiscal_2024_25_q4,5756177.0,29087999.0
beer,Domestic,BC Micro Brew Beer,fiscal_2025_26_q1,7301785.0,37368329.0
beer,Domestic,BC Regional Beer,fiscal_2024_25_q1,14220084.0,54648605.0
beer,Domestic,BC Regional Beer,fiscal_2024_25_q2,14189727.0,55044160.0
beer,Domestic,BC Regional Beer,fiscal_2024_25_q3,12468705.0,48584204.0
beer,Domestic,BC Regional Beer,fiscal_2024_25_q4,11379660.0,43766570.0
beer,Domestic,BC Regional Beer,fiscal_2025_26_q1,14571748.0,56204094.0
beer,Domestic,Other Province Beer Domestic - Other Province Commercial Beer,fiscal_2024_25_q1,10428920.0,48808662.0
beer,Domestic,Other Province Beer Domestic - Other Province Commercial Beer,fiscal_2024_25_q2,10503368.0,49459271.0
beer,Domestic,Other Province Beer Domestic - Other Province Commercial Beer,fiscal_2024_25_q3,7535138.0,36121404.0
beer,Domestic,Other Province Beer Domestic - Other Province Commercial Beer,fiscal_2024_25_q4,7007217.0,33555499.0
beer,Domestic,Other Province Beer Domestic - Other Province Commercial Beer,fiscal_2025_26_q1,10581811.0,49170224.0
beer,Domestic,Other Province Micro Brew Beer,fiscal_2024_25_q1,16622.0,102222.0
beer,Domestic,Other Province Micro Brew Beer,fiscal_2024_25_q2,32014.0,202178.0
beer,Domestic,Other Province Micro Brew Beer,fiscal_2024_25_q3,26279.0,197971.0
beer,Domestic,Other Province Micro Brew Beer,fiscal_2024_25_q4,20560.0,138141.0
beer,Domestic,Other Province Micro Brew Beer,fiscal_2025_26_q1,30509.0,194492.0
beer,Domestic,Other Province Regional Beer,fiscal_2024_25_q1,144529.0,555957.0
beer,Domestic,Other Province Regional Beer,fiscal_2024_25_q2,131145.0,516105.0
beer,Domestic,Other Province Regional Beer,fiscal_2024_25_q3,119865.0,465121.0
beer,Domestic,Other Province Regional Beer,fiscal_2024_25_q4,130879.0,493752.0
beer,Domestic,Other Province Regional Beer,fiscal_2025_26_q1,171524.0,645574.0
beer,Europe Beer,Europe Beer,fiscal_2024_25_q1,3346016.0,17998980.0
beer,Europe Beer,Europe Beer,fiscal_2024_25_q2,3390398.0,18358912.0
beer,Europe Beer,Europe Beer,fiscal_2024_25_q3,3220027.0,17525225.0
beer,Europe Beer,Europe Beer,fiscal_2024_25_q4,2984754.0,16591520.0
beer,Europe Beer,Europe Beer,fiscal_2025_26_q1,3126669.0,17181282.0
beer,Import Beer Asia And South Pacific Beer,Import Beer Asia And South Pacific Beer,fiscal_2024_25_q1,301859.0,1770352.0
beer,Import Beer Asia And South Pacific Beer,Import Beer Asia And South Pacific Beer,fiscal_2024_25_q2,330992.0,1925110.0
beer,Import Beer Asia And South Pacific Beer,Import Beer Asia And South Pacific Beer,fiscal_2024_25_q3,300872.0,1763305.0
beer,Import Beer Asia And South Pacific Beer,Import Beer Asia And South Pacific Beer,fiscal_2024_25_q4,280137.0,1660804.0
beer,Import Beer Asia And South Pacific Beer,Import Beer Asia And South Pacific Beer,fiscal_2025_26_q1,324585.0,1922111.0
beer,Mexico And Caribbean Beer,Mexico And Caribbean Beer,fiscal_2024_25_q1,493201.0,2945867.0
beer,Mexico And Caribbean Beer,Mexico And Caribbean Beer,fiscal_2024_25_q2,541430.0,3310361.0
beer,Mexico And Caribbean Beer,Mexico And Caribbean Beer,fiscal_2024_25_q3,357119.0,2230129.0
beer,Mexico And Caribbean Beer,Mexico And Caribbean Beer,fiscal_2024_25_q4,310821.0,1968593.0
beer,Mexico And Caribbean Beer,Mexico And Caribbean Beer,fiscal_2025_26_q1,438325.0,2762877.0
beer,Other Country Beer,Other Country Beer,fiscal_2024_25_q1,102750.0,647958.0
beer,Other Country Beer,Other Country Beer,fiscal_2024_25_q2,113715.0,716862.0
beer,Other Country Beer,Other Country Beer,fiscal_2024_25_q3,106396.0,660592.0
beer,Other Country Beer,Other Country Beer,fiscal_2024_25_q4,97992.0,617009.0
beer,Other Country Beer,Other Country Beer,fiscal_2025_26_q1,108243.0,680222.0
beer,USA Beer,USA Beer,fiscal_2024_25_q1,104565.0,615480.0
beer,USA Beer,USA Beer,fiscal_2024_25_q2,81763.0,525573.0
beer,USA Beer,USA Beer,fiscal_2024_25_q3,41107.0,253749.0
beer,USA Beer,USA Beer,fiscal_2024_25_q4,25497.0,179983.0
beer,USA Beer,USA Beer,fiscal_2025_26_q1,10472.0,75664.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,fiscal_2024_25_q1,2491312.0,14224127.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,fiscal_2024_25_q2,2848527.0,16888687.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,fiscal_2024_25_q3,1905192.0,11196930.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,fiscal_2024_25_q4,1660438.0,9417257.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,fiscal_2025_26_q1,2443445.0,13979965.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,fiscal_2024_25_q1,70037.0,363377.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,fiscal_2024_25_q2,117201.0,577771.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,fiscal_2024_25_q3,52005.0,263161.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,fiscal_2024_25_q4,40682.0,221683.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,fiscal_2025_26_q1,32840.0,202861.0
refreshment,Import Cider,Import Cider,fiscal_2024_25_q1,647830.0,3385628.0
refreshment,Import Cider,Import Cider,fiscal_2024_25_q2,691478.0,3547950.0
refreshment,Import Cider,Import Cider,fiscal_2024_25_q3,605747.0,3050117.0
refreshment,Import Cider,Import Cider,fiscal_2024_25_q4,494481.0,2621819.0
refreshment,Import Cider,Import Cider,fiscal_2025_26_q1,677601.0,3470164.0
refreshment,Spirit Coolers,Spirit Coolers,fiscal_2024_25_q1,19995242.0,105116631.0
refreshment,Spirit Coolers,Spirit Coolers,fiscal_2024_25_q2,22624910.0,120968839.0
refreshment,Spirit Coolers,Spirit Coolers,fiscal_2024_25_q3,14011494.0,75547221.0
refreshment,Spirit Coolers,Spirit Coolers,fiscal_2024_25_q4,13278828.0,72694520.0
refreshment,Spirit Coolers,Spirit Coolers,fiscal_2025_26_q1,20384604.0,108539486.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,fiscal_2024_25_q1,156275.0,1275019.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,fiscal_2024_25_q2,142573.0,1138113.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,fiscal_2024_25_q3,99059.0,822523.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,fiscal_2024_25_q4,100936.0,854849.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,fiscal_2025_26_q1,123005.0,1043341.0
spirits,Asian Spirits China Spirits,Asian Spirits China Spirits,fiscal_2024_25_q1,13431.0,774814.0
spirits,Asian Spirits China Spirits,Asian Spirits China Spirits,fiscal_2024_25_q2,13655.0,854498.0
spirits,Asian Spirits China Spirits,Asian Spirits China Spirits,fiscal_2024_25_q3,16953.0,1657988.0
spirits,Asian Spirits China Spirits,Asian Spirits China Spirits,fiscal_2024_25_q4,15843.0,1455746.0
spirits,Asian Spirits China Spirits,Asian Spirits China Spirits,fiscal_2025_26_q1,12208.0,784261.0
spirits,Blended Malt Scotch Whisky,Blended Malt Scotch Whisky,fiscal_2024_25_q1,3365.0,213457.0
spirits,Blended Malt Scotch Whisky,Blended Malt Scotch Whisky,fiscal_2024_25_q2,4379.0,247446.0
spirits,Blended Malt Scotch Whisky,Blended Malt Scotch Whisky,fiscal_2024_25_q3,5383.0,336337.0
spirits,Blended Malt Scotch Whisky,Blended Malt Scotch Whisky,fiscal_2024_25_q4,4397.0,256288.0
spirits,Blended Malt Scotch Whisky,Blended Malt Scotch Whisky,fiscal_2025_26_q1,4345.0,253154.0
spirits,Blended Scotch Whisky,Blended Scotch Whisky,fiscal_2024_25_q1,220489.0,7800875.0
spirits,Blended Scotch Whisky,Blended Scotch Whisky,fiscal_2024_25_q2,201197.0,7157899.0
spirits,Blended Scotch Whisky,Blended Scotch Whisky,fiscal_2024_25_q3,246803.0,9410912.0
spirits,Blended Scotch Whisky,Blended Scotch Whisky,fiscal_2024_25_q4,197612.0,7139807.0
spirits,Blended Scotch Whisky,Blended Scotch Whisky,fiscal_2025_26_q1,197744.0,6980436.0
spirits,Bourbon Whiskey,Bourbon Whiskey,fiscal_2024_25_q1,136296.0,6313418.0
spirits,Bourbon Whiskey,Bourbon Whiskey,fiscal_2024_25_q2,124175.0,5702506.0
spirits,Bourbon Whiskey,Bourbon Whiskey,fiscal_2024_25_q3,182415.0,8862492.0
spirits,Bourbon Whiskey,Bourbon Whiskey,fiscal_2024_25_q4,112076.0,5179484.0
spirits,Bourbon Whiskey,Bourbon Whiskey,fiscal_2025_26_q1,13293.0,419971.0
spirits,Brandy,Brandy,fiscal_2024_25_q1,67223.0,1989105.0
spirits,Brandy,Brandy,fiscal_2024_25_q2,62780.0,1935321.0
spirits,Brandy,Brandy,fiscal_2024_25_q3,106122.0,3224104.0
spirits,Brandy,Brandy,fiscal_2024_25_q4,68208.0,2062821.0
spirits,Brandy,Brandy,fiscal_2025_26_q1,63768.0,1894827.0
spirits,Canadian Whisky,Canadian Whisky,fiscal_2024_25_q1,1066978.0,29066717.0
spirits,Canadian Whisky,Canadian Whisky,fiscal_2024_25_q2,1046214.0,28605601.0
spirits,Canadian Whisky,Canadian Whisky,fiscal_2024_25_q3,1221944.0,33687735.0
spirits,Canadian Whisky,Canadian Whisky,fiscal_2024_25_q4,956487.0,26574853.0
spirits,Canadian Whisky,Canadian Whisky,fiscal_2025_26_q1,1121525.0,31324101.0
spirits,Coffee And Cocoa Liqueurs,Coffee And Cocoa Liqueurs,fiscal_2024_25_q1,65678.0,1749309.0
spirits,Coffee And Cocoa Liqueurs,Coffee And Cocoa Liqueurs,fiscal_2024_25_q2,74604.0,2048655.0
spirits,Coffee And Cocoa Liqueurs,Coffee And Cocoa Liqueurs,fiscal_2024_25_q3,132805.0,3594367.0
spirits,Coffee And Cocoa Liqueurs,Coffee And Cocoa Liqueurs,fiscal_2024_25_q4,70508.0,1927947.0
spirits,Coffee And Cocoa Liqueurs,Coffee And Cocoa Liqueurs,fiscal_2025_26_q1,62368.0,1763842.0
spirits,Cognac,Cognac,fiscal_2024_25_q1,16195.0,1867628.0
spirits,Cognac,Cognac,fiscal_2024_25_q2,16417.0,1756788.0
spirits,Cognac,Cognac,fiscal_2024_25_q3,26920.0,2852656.0
spirits,Cognac,Cognac,fiscal_2024_25_q4,21454.0,2557535.0
spirits,Cognac,Cognac,fiscal_2025_26_q1,16221.0,1732944.0
spirits,Cream/Dairy Liqueurs,Cream/Dairy Liqueurs,fiscal_2024_25_q1,225650.0,6274718.0
spirits,Cream/Dairy Liqueurs,Cream/Dairy Liqueurs,fiscal_2024_25_q2,279020.0,7834161.0
spirits,Cream/Dairy Liqueurs,Cream/Dairy Liqueurs,fiscal_2024_25_q3,689125.0,19166462.0
spirits,Cream/Dairy Liqueurs,Cream/Dairy Liqueurs,fiscal_2024_25_q4,217412.0,5964526.0
spirits,Cream/Dairy Liqueurs,Cream/Dairy Liqueurs,fiscal_2025_26_q1,212970.0,5916616.0
spirits,Dark Rum,Dark Rum,fiscal_2024_25_q1,84682.0,2434481.0
spirits,Dark Rum,Dark Rum,fiscal_2024_25_q2,80504.0,2347432.0
spirits,Dark Rum,Dark Rum,fiscal_2024_25_q3,120467.0,3601239.0
spirits,Dark Rum,Dark Rum,fiscal_2024_25_q4,83830.0,2458945.0
spirits,Dark Rum,Dark Rum,fiscal_2025_26_q1,90798.0,2654560.0
spirits,Eau de Vie,Eau de Vie,fiscal_2024_25_q1,5581.0,266303.0
spirits,Eau de Vie,Eau de Vie,fiscal_2024_25_q2,4776.0,273235.0
spirits,Eau de Vie,Eau de Vie,fiscal_2024_25_q3,7748.0,378369.0
spirits,Eau de Vie,Eau de Vie,fiscal_2024_25_q4,4731.0,240257.0
spirits,Eau de Vie,Eau de Vie,fiscal_2025_26_q1,5931.0,308020.0
spirits,Flavoured Gin,Flavoured Gin,fiscal_2024_25_q1,32390.0,1168915.0
spirits,Flavoured Gin,Flavoured Gin,fiscal_2024_25_q2,33095.0,1194470.0
spirits,Flavoured Gin,Flavoured Gin,fiscal_2024_25_q3,25906.0,1017242.0
spirits,Flavoured Gin,Flavoured Gin,fiscal_2024_25_q4,20946.0,779457.0
spirits,Flavoured Gin,Flavoured Gin,fiscal_2025_26_q1,34746.0,1278222.0
spirits,Flavoured Rum,Flavoured Rum,fiscal_2024_25_q1,14267.0,407629.0
spirits,Flavoured Rum,Flavoured Rum,fiscal_2024_25_q2,15657.0,449130.0
spirits,Flavoured Rum,Flavoured Rum,fiscal_2024_25_q3,14054.0,489524.0
spirits,Flavoured Rum,Flavoured Rum,fiscal_2024_25_q4,11215.0,373076.0
spirits,Flavoured Rum,Flavoured Rum,fiscal_2025_26_q1,8561.0,315424.0
spirits,Flavoured Spirits,Flavoured Spirits,fiscal_2024_25_q1,2369.0,123152.0
spirits,Flavoured Spirits,Flavoured Spirits,fiscal_2024_25_q2,2893.0,153016.0
spirits,Flavoured Spirits,Flavoured Spirits,fiscal_2024_25_q3,17905.0,474591.0
spirits,Flavoured Spirits,Flavoured Spirits,fiscal_2024_25_q4,1887.0,84871.0
spirits,Flavoured Spirits,Flavoured Spirits,fiscal_2025_26_q1,1757.0,92366.0
spirits,Flavoured Tequila,Flavoured Tequila,fiscal_2024_25_q1,18072.0,994023.0
spirits,Flavoured Tequila,Flavoured Tequila,fiscal_2024_25_q2,20366.0,1036314.0
spirits,Flavoured Tequila,Flavoured Tequila,fiscal_2024_25_q3,17549.0,942166.0
