cat_type,category,subcategory,fy_qtr,litres,netsales
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q2,30474912.0,118276668.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q3,25656254.0,101448870.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q4,23403198.0,92915416.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q1,27821034.0,110105640.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q2,28372906.0,109671124.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q2,7969703.0,40372022.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q3,6060017.0,31141908.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q4,5760426.0,29106240.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q1,7310463.0,37416017.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q2,7641429.0,39178297.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q2,14189713.0,55044093.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q3,12468536.0,48583530.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q4,11379616.0,43766428.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q1,14582792.0,56248766.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q2,14157556.0,55196148.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q2,10503368.0,49459271.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q3,7535079.0,36121151.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q4,7007229.0,33555547.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q1,10581262.0,49168617.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q2,10499917.0,48873856.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q2,32014.0,202178.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q3,26279.0,197971.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q4,20560.0,138141.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q1,30578.0,195036.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q2,38680.0,239087.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q2,131145.0,516105.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q3,119865.0,465121.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q4,130879.0,493752.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q1,171556.0,645801.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q2,136780.0,477799.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q2,330992.0,1925110.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q3,300872.0,1763305.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q4,280156.0,1660918.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q1,324718.0,1922912.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q2,347349.0,2061525.0
Beer,Import Beer,Europe Beer,FY2025Q2,3390398.0,18358912.0
Beer,Import Beer,Europe Beer,FY2025Q3,3220027.0,17525225.0
Beer,Import Beer,Europe Beer,FY2025Q4,2984514.0,16589986.0
Beer,Import Beer,Europe Beer,FY2026Q1,3125726.0,17175610.0
Beer,Import Beer,Europe Beer,FY2026Q2,3225366.0,17690216.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q2,541430.0,3310361.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q3,357119.0,2230129.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q4,310821.0,1968593.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q1,438323.0,2762857.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q2,421135.0,2678091.0
Beer,Import Beer,Other Country Beer,FY2025Q2,113715.0,716862.0
Beer,Import Beer,Other Country Beer,FY2025Q3,106396.0,660592.0
Beer,Import Beer,Other Country Beer,FY2025Q4,97992.0,617009.0
Beer,Import Beer,Other Country Beer,FY2026Q1,108243.0,680222.0
Beer,Import Beer,Other Country Beer,FY2026Q2,110677.0,695669.0
Beer,Import Beer,USA Beer,FY2025Q2,81763.0,525573.0
Beer,Import Beer,USA Beer,FY2025Q3,41107.0,253749.0
Beer,Import Beer,USA Beer,FY2025Q4,25497.0,179983.0
Beer,Import Beer,USA Beer,FY2026Q1,10472.0,75664.0
Beer,Import Beer,USA Beer,FY2026Q2,7300.0,49217.0
Refreshment Beverages,Cider,Domestic Cider,FY2025Q2,2848546.0,16888832.0
Refreshment Beverages,Cider,Domestic Cider,FY2025Q3,1905192.0,11196930.0
Refreshment Beverages,Cider,Domestic Cider,FY2025Q4,1660753.0,9419893.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q1,2453902.0,14081627.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q2,2720056.0,16084356.0
Refreshment Beverages,Cider,Import Cider,FY2025Q2,691478.0,3547950.0
Refreshment Beverages,Cider,Import Cider,FY2025Q3,605747.0,3050117.0
Refreshment Beverages,Cider,Import Cider,FY2025Q4,494531.0,2622116.0
Refreshment Beverages,Cider,Import Cider,FY2026Q1,677901.0,3471881.0
Refreshment Beverages,Cider,Import Cider,FY2026Q2,687664.0,3562722.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2025Q2,117201.0,577771.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2025Q3,52010.0,263195.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2025Q4,40724.0,222017.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q1,32901.0,203357.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q2,24846.0,155903.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2025Q2,22624910.0,120968839.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2025Q3,14011494.0,75547221.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2025Q4,13278828.0,72694520.0
