cat_type,category,subcategory,fy_qtr,litres,netsales
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q3,25700525.0,101662513.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q4,23428966.0,93023743.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q1,27843585.0,110210177.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q2,28817586.0,111458367.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q3,24898023.0,99039614.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q3,6023045.0,30959113.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q4,5737998.0,29010913.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q1,7239549.0,37104651.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q2,7716286.0,39506414.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q3,5960748.0,31230812.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q3,12461517.0,48554097.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q4,11376150.0,43752860.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q1,14631573.0,56457525.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q2,14231673.0,55530941.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q3,12111887.0,47714448.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q3,7535079.0,36121151.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q4,7006172.0,33547557.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q1,10580259.0,49161867.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q2,10674113.0,49695296.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q3,7918483.0,37724158.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q3,23971.0,184011.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q4,19487.0,133417.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q1,29335.0,188195.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q2,37204.0,230373.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q3,22541.0,152935.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q3,122174.0,479081.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q4,133009.0,506467.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q1,173713.0,659018.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q2,146609.0,523179.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q3,146600.0,517517.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q3,300872.0,1763305.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q4,280156.0,1660918.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q1,324718.0,1922912.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q2,347349.0,2061525.0
