cat_type,category,subcategory
beer,Domestic,BC Beer Domestic - BC Commercial Beer
beer,Domestic,BC Micro Brew Beer
beer,Domestic,BC Regional Beer
beer,Domestic,Other Province Beer Domestic - Other Province Commercial Beer
beer,Domestic,Other Province Micro Brew Beer
beer,Domestic,Other Province Regional Beer
beer,Europe Beer,Europe Beer
beer,Import Beer Asia And South Pacific Beer,Import Beer Asia And South Pacific Beer
beer,Mexico And Caribbean Beer,Mexico And Caribbean Beer
beer,Other Country Beer,Other Country Beer
beer,USA Beer,USA Beer
refreshment,Cider Domestic Cider,Cider Domestic Cider
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers
refreshment,Import Cider,Import Cider
refreshment,Spirit Coolers,Spirit Coolers
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers
spirits,Asian Spirits China Spirits,Asian Spirits China Spirits
spirits,Blended Malt Scotch Whisky,Blended Malt Scotch Whisky
spirits,Blended Scotch Whisky,Blended Scotch Whisky
spirits,Bourbon Whiskey,Bourbon Whiskey
spirits,Brandy,Brandy
spirits,Canadian Whisky,Canadian Whisky
spirits,Coffee And Cocoa Liqueurs,Coffee And Cocoa Liqueurs
spirits,Cognac,Cognac
spirits,Cream/Dairy Liqueurs,Cream/Dairy Liqueurs
spirits,Dark Rum,Dark Rum
spirits,Eau de Vie,Eau de Vie
spirits,Flavoured Gin,Flavoured Gin
spirits,Flavoured Rum,Flavoured Rum
spirits,Flavoured Spirits,Flavoured Spirits
spirits,Flavoured Tequila,Flavoured Tequila
spirits,Flavoured Whisky,Flavoured Whisky
spirits,Fruit Liqueurs,Fruit Liqueurs
spirits,Gin Dry Gin,Gin Dry Gin
spirits,Gold Tequila,Gold Tequila
spirits,Grape and Fruit Brandy Armagnac,Grape and Fruit Brandy Armagnac
spirits,Grappa And Marc,Grappa And Marc
spirits,Grappa And Marc 971 911,Grappa And Marc 971 911
spirits,Irish Whiskey,Irish Whiskey
spirits,Korea Spirits,Korea Spirits
spirits,Liqueurs Anise And Herbal/Spice Liqueurs,Liqueurs Anise And Herbal/Spice Liqueurs
spirits,Mezcal,Mezcal
spirits,Miscellaneous/Other Spirits,Miscellaneous/Other Spirits
spirits,Nut Liqueurs,Nut Liqueurs
spirits,Other Country Asian Spirits,Other Country Asian Spirits
