cat_type,category,subcategory,FY2024Q2,FY2024Q3,FY2024Q4,FY2025Q1,FY2025Q2
Spirits,Asian Spirits,China Spirits,824345,1282512,1247337,774814,854498
Spirits,Asian Spirits,Korea Spirits,1444622,1419953,1431889,1249008,1420019
Spirits,Asian Spirits,Other Country Asian Spirits,155042,191820,133718,150099,170605
Spirits,Gin,Dry Gin,16027533,14166380,10657919,13768823,14368142
Spirits,Gin,Flavoured Gin,1407588,1111169,762258,1168127,1167853
Spirits,Gin,Other Gin,706563,619667,494510,998233,798982
Spirits,Grape and Fruit Brandy,Armagnac,49203,104599,103035,27790,38497
Spirits,Grape and Fruit Brandy,Brandy,2069878,3482770,2195932,1986908,1933817
Spirits,Grape and Fruit Brandy,Cognac,2431017,3491373,2205775,1867628,1756788
Spirits,Grape and Fruit Brandy,Eau de Vie,233427,387306,174612,265484,273235
Spirits,Grape and Fruit Brandy,Grappa And Marc,65195,78619,63157,61560,53493
Spirits,Grape and Fruit Brandy,Pisco,129308,128948,115466,137896,132506
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,9204718,10982727,7888839,9250684,9300564
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,1993670,3329663,1717799,1746778,2046634
Spirits,Liqueurs,Cream/Dairy Liqueurs,8397978,21455471,5481557,6274718,7828829
Spirits,Liqueurs,Fruit Liqueurs,6766474,7560534,4990040,6581700,7446253
Spirits,Liqueurs,Nut Liqueurs,1620131,1932002,1076362,1422362,1551869
Spirits,Liqueurs,Other Liqueurs,1294273,1385926,992243,1117327,1381326
Spirits,Liqueurs,Whiskey Liqueurs,1336095,1989937,1207969,1299387,1319931
Spirits,Other Spirits,Cachaca,44814,28068,34859,38574,48140
Spirits,Other Spirits,Flavoured Spirits,187955,395442,91190,123152,152238
Spirits,Other Spirits,Miscellaneous/Other Spirits,267397,253023,235871,192584,255170
